# Testing 192 configurations 
# Reading [17] trace.out files from [../experiment-results/Jul-14-1/trace]
# -> Parrot_l1_mm-45.latency_trace.out
# -> Parrot_l1_mm-18.latency_trace.out
# -> Parrot_l1_mm-15.latency_trace.out
# -> Parrot_l1_mm-2.latency_trace.out
# -> Parrot_l1_mm-90.latency_trace.out
# -> Parrot_l1_mm-4.latency_trace.out
# -> Parrot_l1_mm-60.latency_trace.out
# -> Parrot_l1_mm-3.latency_trace.out
# -> Parrot_l1_mm-36.latency_trace.out
# -> Parrot_l1_mm-1.latency_trace.out
# -> Parrot_l1_mm-12.latency_trace.out
# -> Parrot_l1_mm-6.latency_trace.out
# -> Parrot_l1_mm-20.latency_trace.out
# -> Parrot_l1_mm-5.latency_trace.out
# -> Parrot_l1_mm-9.latency_trace.out
# -> Parrot_l1_mm-30.latency_trace.out
# -> Parrot_l1_mm-10.latency_trace.out
# Done loading files.
benchmark pct err len threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
mm-45 0.985944 1.55761 88933143 0.65 100000 3 75 2000 15 2.5 4
mm-18 0.985956 0.279253 89006719 0.65 100000 3 75 2000 15 2.5 4
mm-15 0.985946 1.51281 88945518 0.65 100000 3 75 2000 15 2.5 4
mm-2 0.986258 0.0252575 90959899 0.65 100000 3 75 2000 15 2.5 4
mm-90 0.985989 0.0252382 89216359 0.65 100000 3 75 2000 15 2.5 4
mm-4 0.986062 0.0200165 89681077 0.65 100000 3 75 2000 15 2.5 4
mm-60 0.97358 0.149393 89174032 0.65 100000 3 75 2000 15 2.5 4
mm-3 0.986099 1.54969 89921825 0.65 100000 3 75 2000 15 2.5 4
mm-36 0.980706 1.778 88731019 0.65 100000 3 75 2000 15 2.5 4
mm-1 0.986558 0.0328639 92995033 0.65 100000 3 75 2000 15 2.5 4
mm-12 0.985963 0.393541 89047973 0.65 100000 3 75 2000 15 2.5 4
mm-6 0.98586 0.00687934 88400751 0.65 100000 3 75 2000 15 2.5 4
mm-20 0.985926 0.351902 88817404 0.65 100000 3 75 2000 15 2.5 4
mm-5 0.984124 0.104155 88307782 0.65 100000 3 75 2000 15 2.5 4
mm-9 0.982563 0.160924 89235305 0.65 100000 3 75 2000 15 2.5 4
mm-30 0.985716 0.595459 87511431 0.65 100000 3 75 2000 15 2.5 4
mm-10 0.985973 0.178454 89113887 0.65 100000 3 75 2000 15 2.5 4
mm-45 0.985944 1.55761 88933143 0.65 100000 3 75 2000 10 2.5 8
mm-18 0.985956 0.279253 89006719 0.65 100000 3 75 2000 10 2.5 8
mm-15 0.985946 1.51281 88945518 0.65 100000 3 75 2000 10 2.5 8
mm-2 0.986258 0.0252575 90959899 0.65 100000 3 75 2000 10 2.5 8
mm-90 0.985989 0.0252382 89216359 0.65 100000 3 75 2000 10 2.5 8
mm-4 0.986062 0.0200165 89681077 0.65 100000 3 75 2000 10 2.5 8
mm-60 0.985982 0.35169 89174032 0.65 100000 3 75 2000 10 2.5 8
mm-3 0.986099 1.54969 89921825 0.65 100000 3 75 2000 10 2.5 8
mm-36 0.985912 0.0742756 88731019 0.65 100000 3 75 2000 10 2.5 8
mm-1 0.986558 0.0328639 92995033 0.65 100000 3 75 2000 10 2.5 8
mm-12 0.985963 0.393541 89047973 0.65 100000 3 75 2000 10 2.5 8
mm-6 0.98586 0.00687934 88400751 0.65 100000 3 75 2000 10 2.5 8
mm-20 0.985926 0.351902 88817404 0.65 100000 3 75 2000 10 2.5 8
mm-5 0.984124 0.104155 88307782 0.65 100000 3 75 2000 10 2.5 8
mm-9 0.985992 0.128545 89235305 0.65 100000 3 75 2000 10 2.5 8
mm-30 0.985716 0.595459 87511431 0.65 100000 3 75 2000 10 2.5 8
mm-10 0.985973 0.178454 89113887 0.65 100000 3 75 2000 10 2.5 8
mm-45 0.98247 0.212277 88933143 0.65 100000 3 75 1500 20 3 4
mm-18 0.986377 0.300469 89006719 0.65 100000 3 75 1500 20 3 4
mm-15 0.978425 0.0307589 88945518 0.65 100000 3 75 1500 20 3 4
mm-2 0.98667 0.023209 90959899 0.65 100000 3 75 1500 20 3 4
mm-90 0.983837 0.0965244 89216359 0.65 100000 3 75 1500 20 3 4
