# Testing 192 configurations 
# Reading [17] trace.out files from [../experiment-results/Jul-14-4/trace]
# -> Parrot_l1_mm-45.latency_trace.out
# -> Parrot_l1_mm-18.latency_trace.out
# -> Parrot_l1_mm-15.latency_trace.out
# -> Parrot_l1_mm-2.latency_trace.out
# -> Parrot_l1_mm-90.latency_trace.out
# -> Parrot_l1_mm-4.latency_trace.out
# -> Parrot_l1_mm-60.latency_trace.out
# -> Parrot_l1_mm-3.latency_trace.out
# -> Parrot_l1_mm-36.latency_trace.out
# -> Parrot_l1_mm-1.latency_trace.out
# -> Parrot_l1_mm-12.latency_trace.out
# -> Parrot_l1_mm-6.latency_trace.out
# -> Parrot_l1_mm-20.latency_trace.out
# -> Parrot_l1_mm-5.latency_trace.out
# -> Parrot_l1_mm-9.latency_trace.out
# -> Parrot_l1_mm-30.latency_trace.out
# -> Parrot_l1_mm-10.latency_trace.out
# Done loading files.
benchmark pct err len threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
mm-45 0.985899 1.15007 88648855 0.65 100000 3 75 2000 5 2.5 4
mm-18 0.985974 0.848334 89117893 0.65 100000 3 75 2000 5 2.5 4
mm-15 0.985963 1.75159 89050124 0.65 100000 3 75 2000 5 2.5 4
mm-2 0.986234 0.0287759 90804972 0.65 100000 3 75 2000 5 2.5 4
mm-90 0.984324 0.0528072 89435104 0.65 100000 3 75 2000 5 2.5 4
mm-4 0.986023 0.0170206 89434402 0.65 100000 3 75 2000 5 2.5 4
mm-60 0.985959 0.631788 89023602 0.65 100000 3 75 2000 5 2.5 4
mm-3 0.986103 1.51472 89947832 0.65 100000 3 75 2000 5 2.5 4
mm-36 0.98591 0.0889636 88715566 0.65 100000 3 75 2000 5 2.5 4
mm-1 0.986321 0.0187105 91382149 0.65 100000 3 75 2000 5 2.5 4
mm-12 0.985995 0.44563 89251284 0.65 100000 3 75 2000 5 2.5 4
mm-6 0.984307 0.030109 89337604 0.65 100000 3 75 2000 5 2.5 4
mm-20 0.985954 0.52156 88990745 0.65 100000 3 75 2000 5 2.5 4
mm-5 0.986038 0.0849981 89530255 0.65 100000 3 75 2000 5 2.5 4
mm-9 0.98255 0.169879 89171230 0.65 100000 3 75 2000 5 2.5 4
mm-30 0.98248 0.901766 88810785 0.65 100000 3 75 2000 5 2.5 4
mm-10 0.985986 0.111551 89193970 0.65 100000 3 75 2000 5 2.5 4
mm-45 0.986322 1.31564 88648855 0.65 100000 3 75 1500 15 3 8
mm-18 0.985115 0.203752 89117893 0.65 100000 3 75 1500 15 3 8
mm-15 0.981162 0.105448 89050124 0.65 100000 3 75 1500 15 3 8
mm-2 0.986647 0.0248581 90804972 0.65 100000 3 75 1500 15 3 8
