# Testing 7776 configurations 
# Reading [30] trace.out files from [../parrot-traces/polybench-v0.1-normal/]
# -> Parrot_l1_2mm.latency_trace.out
# -> Parrot_l1_jacobi-2d.latency_trace.out
# -> Parrot_l1_mvt.latency_trace.out
# -> Parrot_l1_floyd-warshall.latency_trace.out
# -> Parrot_l1_trisolv.latency_trace.out
# -> Parrot_l1_deriche.latency_trace.out
# -> Parrot_l1_symm.latency_trace.out
# -> Parrot_l1_syr2k.latency_trace.out
# -> Parrot_l1_nussinov.latency_trace.out
# -> Parrot_l1_heat-3d.latency_trace.out
# -> Parrot_l1_doitgen.latency_trace.out
# -> Parrot_l1_covariance.latency_trace.out
# -> Parrot_l1_trmm.latency_trace.out
# -> Parrot_l1_lu.latency_trace.out
# -> Parrot_l1_bicg.latency_trace.out
# -> Parrot_l1_3mm.latency_trace.out
# -> Parrot_l1_cholesky.latency_trace.out
# -> Parrot_l1_seidel-2d.latency_trace.out
# -> Parrot_l1_jacobi-1d.latency_trace.out
# -> Parrot_l1_gemver.latency_trace.out
# Done loading files.
pct acc threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
0.543501 2.77277 0.4 200000 4 10 500 10 0.5 8
0.547586 2.35555 0.5 100000 4 10 250 5 0.5 10
0.606932 5.44246 0.5 200000 4 15 500 10 2 4
0.604663 5.78728 0.5 200000 5 10 250 10 2 6
0.582461 3.33762 0.4 200000 3 10 250 10 0.5 4
0.458503 1.64831 0.4 200000 4 20 250 10 0.5 10
0.597346 5.39693 0.4 100000 4 20 250 10 2 10
0.614759 4.99644 0.5 100000 5 10 500 5 1 6
0.642445 5.0776 0.4 100000 5 15 250 5 0.5 4
0.536734 3.06262 0.4 200000 5 10 1000 10 1 4
0.628846 4.99392 0.4 100000 4 10 500 10 2 8
0.529801 3.05418 0.4 100000 5 20 1000 5 0.5 6
0.486057 1.45095 0.4 50000 4 20 250 10 0.5 8
0.573857 3.11583 0.5 200000 3 15 250 10 1 8
0.599131 3.10701 0.4 50000 4 10 500 10 0.5 4
0.552138 1.75628 0.5 50000 5 10 500 5 0.5 8
0.597903 3.1214 0.4 50000 5 20 500 10 1 8
0.689107 5.42838 0.5 50000 5 20 250 5 1 4
0.615421 5.05079 0.5 50000 4 15 1000 5 0.5 4
0.673246 5.14342 0.4 100000 3 10 250 10 1 4
0.61306 4.54531 0.4 50000 5 10 1000 10 1 4
0.55454 3.37885 0.5 100000 5 20 250 5 1 10
0.75246 6.16687 0.4 10000 4 10 500 5 1 4
0.633254 3.41642 0.5 10000 4 15 500 10 1 4
0.634209 5.37035 0.5 100000 3 15 250 10 2 8
0.656828 5.1786 0.4 10000 4 20 250 5 1 8
0.686668 5.96202 0.6 10000 4 20 1000 5 1 4
0.49944 1.52833 0.4 200000 3 15 1000 10 0.5 8
0.611226 4.47151 0.5 100000 4 15 1000 5 1 6
0.482691 1.7483 0.5 200000 5 15 1000 10 2 10
0.550308 1.50921 0.6 50000 4 20 1000 10 0.5 4
0.65983 6.00251 0.6 100000 4 15 250 5 1 6
0.597203 4.32442 0.6 100000 3 10 1000 5 0.5 10
0.703957 7.44382 0.6 100000 3 20 500 5 1 4
0.584953 4.57819 0.5 200000 3 20 1000 10 2 4
0.55088 3.53289 0.6 100000 4 20 1000 5 1 8
0.529753 3.08409 0.4 200000 5 20 500 10 1 8
0.687482 6.35724 0.6 50000 4 15 250 5 2 8
0.625699 5.16879 0.4 100000 3 15 1000 10 2 8
0.469906 1.5847 0.4 200000 4 10 500 10 0.5 10
0.587576 4.98834 0.5 200000 4 15 500 10 2 6
0.612303 4.86649 0.4 100000 4 20 500 5 0.5 4
0.596848 5.62316 0.5 200000 5 10 250 10 2 8
0.532245 2.20543 0.4 200000 3 10 250 10 0.5 6
0.72633 7.81598 0.5 100000 4 10 250 5 1 4
0.526941 2.82208 0.4 200000 5 10 1000 10 1 6
0.601177 4.8201 0.5 100000 5 10 500 5 1 8
0.536077 3.12426 0.4 100000 5 20 1000 5 0.5 8
0.633867 6.49059 0.4 200000 4 20 250 10 1 4
0.598148 4.99963 0.4 100000 4 10 500 10 2 10
0.642778 4.44634 0.4 100000 5 15 250 5 0.5 6
0.525753 1.98253 0.5 200000 3 15 250 10 1 10
0.598923 3.22916 0.4 10000 3 15 1000 5 0.5 8
