# Testing 240 configurations 
# Reading [16] trace.out files from [../experiment-results/Jul-23-4/trace]
# -> Parrot_l1_sp-13.latency_trace.out
# -> Parrot_l1_sp-10.latency_trace.out
# -> Parrot_l1_sp-07.latency_trace.out
# -> Parrot_l1_sp-14.latency_trace.out
# -> Parrot_l1_sp-08.latency_trace.out
# -> Parrot_l1_sp-15.latency_trace.out
# -> Parrot_l1_sp-06.latency_trace.out
# -> Parrot_l1_sp-16.latency_trace.out
# -> Parrot_l1_sp-11.latency_trace.out
# -> Parrot_l1_sp-03.latency_trace.out
# -> Parrot_l1_sp-04.latency_trace.out
# -> Parrot_l1_sp-05.latency_trace.out
# -> Parrot_l1_sp-01.latency_trace.out
# -> Parrot_l1_sp-02.latency_trace.out
# -> Parrot_l1_sp-12.latency_trace.out
# -> Parrot_l1_sp-09.latency_trace.out
# Done loading files.
benchmark pct err len threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
sp-13 0.882009 7.77015 1327646 0.5 10000 3 10 50 5 3 2
sp-10 0.884004 7.82431 1327635 0.5 10000 3 10 50 5 3 2
sp-07 0.889089 6.89933 1327646 0.5 10000 3 10 50 5 3 2
sp-14 0.891725 7.83764 1327635 0.5 10000 3 10 50 5 3 2
sp-08 0 0 1327646 0.5 10000 3 10 50 5 3 2
sp-15 0 0 1327646 0.5 10000 3 10 50 5 3 2
sp-06 0 0 1327646 0.5 10000 3 10 50 5 3 2
sp-16 0.889804 7.76127 1327635 0.5 10000 3 10 50 5 3 2
sp-11 0 0 1327646 0.5 10000 3 10 50 5 3 2
sp-03 0 0 1327646 0.5 10000 3 10 50 5 3 2
sp-04 0.868337 8.52109 1327635 0.5 10000 3 10 50 5 3 2
sp-05 0.87636 8.39766 1327646 0.5 10000 3 10 50 5 3 2
sp-01 0 0 1327635 0.5 10000 3 10 50 5 3 2
sp-02 0.886717 7.93856 1327646 0.5 10000 3 10 50 5 3 2
sp-12 0.893759 7.56218 1327646 0.5 10000 3 10 50 5 3 2
sp-09 0.886716 8.14929 1327635 0.5 10000 3 10 50 5 3 2
sp-13 0 0 1327646 0.65 10000 3 50 500 5 3 2
sp-10 0 0 1327635 0.65 10000 3 50 500 5 3 2
sp-07 0 0 1327646 0.65 10000 3 50 500 5 3 2
sp-14 0 0 1327635 0.65 10000 3 50 500 5 3 2
sp-08 0 0 1327646 0.65 10000 3 50 500 5 3 2
sp-15 0 0 1327646 0.65 10000 3 50 500 5 3 2
sp-06 0 0 1327646 0.65 10000 3 50 500 5 3 2
sp-16 0 0 1327635 0.65 10000 3 50 500 5 3 2
sp-11 0 0 1327646 0.65 10000 3 50 500 5 3 2
sp-03 0 0 1327646 0.65 10000 3 50 500 5 3 2
sp-04 0 0 1327635 0.65 10000 3 50 500 5 3 2
sp-05 0 0 1327646 0.65 10000 3 50 500 5 3 2
sp-01 0 0 1327635 0.65 10000 3 50 500 5 3 2
sp-02 0 0 1327646 0.65 10000 3 50 500 5 3 2
sp-12 0 0 1327646 0.65 10000 3 50 500 5 3 2
sp-09 0 0 1327635 0.65 10000 3 50 500 5 3 2
sp-13 0 0 1327646 0.65 10000 3 20 500 5 3 2
sp-10 0 0 1327635 0.65 10000 3 20 500 5 3 2
sp-07 0.862162 0.0272191 1327646 0.65 10000 3 20 500 5 3 2
sp-14 0.853122 1.37064 1327635 0.65 10000 3 20 500 5 3 2
sp-08 0 0 1327646 0.65 10000 3 20 500 5 3 2
sp-15 0.853123 1.2208 1327646 0.65 10000 3 20 500 5 3 2
sp-06 0 0 1327646 0.65 10000 3 20 500 5 3 2
sp-16 0 0 1327635 0.65 10000 3 20 500 5 3 2
sp-11 0 0 1327646 0.65 10000 3 20 500 5 3 2
sp-03 0 0 1327646 0.65 10000 3 20 500 5 3 2
sp-04 0 0 1327635 0.65 10000 3 20 500 5 3 2
sp-05 0 0 1327646 0.65 10000 3 20 500 5 3 2
sp-01 0 0 1327635 0.65 10000 3 20 500 5 3 2
sp-02 0 0 1327646 0.65 10000 3 20 500 5 3 2
sp-12 0 0 1327646 0.65 10000 3 20 500 5 3 2
sp-09 0 0 1327635 0.65 10000 3 20 500 5 3 2
sp-13 0 0 1327646 0.5 10000 3 75 50 5 3 2
sp-10 0 0 1327635 0.5 10000 3 75 50 5 3 2
sp-07 0 0 1327646 0.5 10000 3 75 50 5 3 2
sp-14 0 0 1327635 0.5 10000 3 75 50 5 3 2
sp-08 0 0 1327646 0.5 10000 3 75 50 5 3 2
sp-15 0 0 1327646 0.5 10000 3 75 50 5 3 2
sp-06 0 0 1327646 0.5 10000 3 75 50 5 3 2
sp-16 0 0 1327635 0.5 10000 3 75 50 5 3 2
sp-11 0 0 1327646 0.5 10000 3 75 50 5 3 2
sp-03 0 0 1327646 0.5 10000 3 75 50 5 3 2
sp-04 0 0 1327635 0.5 10000 3 75 50 5 3 2
sp-05 0 0 1327646 0.5 10000 3 75 50 5 3 2
sp-01 0.84141 0.770013 1327635 0.5 10000 3 75 50 5 3 2
sp-02 0 0 1327646 0.5 10000 3 75 50 5 3 2
sp-12 0 0 1327646 0.5 10000 3 75 50 5 3 2
sp-09 0 0 1327635 0.5 10000 3 75 50 5 3 2
sp-13 0 0 1327646 0.5 10000 3 75 200 5 3 2
sp-10 0 0 1327635 0.5 10000 3 75 200 5 3 2
sp-07 0 0 1327646 0.5 10000 3 75 200 5 3 2
sp-14 0 0 1327635 0.5 10000 3 75 200 5 3 2
sp-08 0 0 1327646 0.5 10000 3 75 200 5 3 2
sp-15 0 0 1327646 0.5 10000 3 75 200 5 3 2
sp-06 0 0 1327646 0.5 10000 3 75 200 5 3 2
sp-16 0 0 1327635 0.5 10000 3 75 200 5 3 2
sp-11 0 0 1327646 0.5 10000 3 75 200 5 3 2
sp-03 0 0 1327646 0.5 10000 3 75 200 5 3 2
sp-04 0.883251 1.82614 1327635 0.5 10000 3 75 200 5 3 2
sp-05 0 0 1327646 0.5 10000 3 75 200 5 3 2
sp-01 0 0 1327635 0.5 10000 3 75 200 5 3 2
sp-02 0 0 1327646 0.5 10000 3 75 200 5 3 2
sp-12 0 0 1327646 0.5 10000 3 75 200 5 3 2
sp-09 0 0 1327635 0.5 10000 3 75 200 5 3 2
sp-13 0 0 1327646 0.5 10000 3 75 1000 5 3 2
sp-10 0 0 1327635 0.5 10000 3 75 1000 5 3 2
sp-07 0 0 1327646 0.5 10000 3 75 1000 5 3 2
sp-14 0 0 1327635 0.5 10000 3 75 1000 5 3 2
sp-08 0 0 1327646 0.5 10000 3 75 1000 5 3 2
sp-15 0 0 1327646 0.5 10000 3 75 1000 5 3 2
sp-06 0 0 1327646 0.5 10000 3 75 1000 5 3 2
sp-16 0 0 1327635 0.5 10000 3 75 1000 5 3 2
sp-11 0 0 1327646 0.5 10000 3 75 1000 5 3 2
sp-03 0 0 1327646 0.5 10000 3 75 1000 5 3 2
sp-04 0 0 1327635 0.5 10000 3 75 1000 5 3 2
sp-05 0 0 1327646 0.5 10000 3 75 1000 5 3 2
sp-01 0 0 1327635 0.5 10000 3 75 1000 5 3 2
sp-02 0 0 1327646 0.5 10000 3 75 1000 5 3 2
sp-12 0 0 1327646 0.5 10000 3 75 1000 5 3 2
sp-09 0 0 1327635 0.5 10000 3 75 1000 5 3 2
sp-13 0 0 1327646 0.5 10000 3 25 1000 5 3 2
sp-10 0 0 1327635 0.5 10000 3 25 1000 5 3 2
sp-07 0 0 1327646 0.5 10000 3 25 1000 5 3 2
sp-14 0 0 1327635 0.5 10000 3 25 1000 5 3 2
sp-08 0 0 1327646 0.5 10000 3 25 1000 5 3 2
sp-15 0 0 1327646 0.5 10000 3 25 1000 5 3 2
sp-06 0 0 1327646 0.5 10000 3 25 1000 5 3 2
sp-16 0 0 1327635 0.5 10000 3 25 1000 5 3 2
sp-11 0 0 1327646 0.5 10000 3 25 1000 5 3 2
sp-03 0 0 1327646 0.5 10000 3 25 1000 5 3 2
sp-04 0 0 1327635 0.5 10000 3 25 1000 5 3 2
sp-05 0 0 1327646 0.5 10000 3 25 1000 5 3 2
sp-01 0 0 1327635 0.5 10000 3 25 1000 5 3 2
sp-02 0 0 1327646 0.5 10000 3 25 1000 5 3 2
sp-12 0 0 1327646 0.5 10000 3 25 1000 5 3 2
sp-09 0 0 1327635 0.5 10000 3 25 1000 5 3 2
sp-13 0 0 1327646 0.5 10000 3 100 100 5 3 2
sp-10 0 0 1327635 0.5 10000 3 100 100 5 3 2
sp-07 0 0 1327646 0.5 10000 3 100 100 5 3 2
sp-14 0 0 1327635 0.5 10000 3 100 100 5 3 2
sp-08 0 0 1327646 0.5 10000 3 100 100 5 3 2
sp-15 0 0 1327646 0.5 10000 3 100 100 5 3 2
sp-06 0 0 1327646 0.5 10000 3 100 100 5 3 2
sp-16 0 0 1327635 0.5 10000 3 100 100 5 3 2
sp-11 0 0 1327646 0.5 10000 3 100 100 5 3 2
