# Testing 192 configurations 
# Reading [30] trace.out files from [../parrot-traces/polybench-v0.1-normal/]
# -> Parrot_l1_2mm.latency_trace.out
# -> Parrot_l1_jacobi-2d.latency_trace.out
# -> Parrot_l1_mvt.latency_trace.out
# -> Parrot_l1_floyd-warshall.latency_trace.out
# -> Parrot_l1_trisolv.latency_trace.out
# -> Parrot_l1_deriche.latency_trace.out
# -> Parrot_l1_symm.latency_trace.out
# -> Parrot_l1_syr2k.latency_trace.out
# -> Parrot_l1_nussinov.latency_trace.out
# -> Parrot_l1_heat-3d.latency_trace.out
# -> Parrot_l1_doitgen.latency_trace.out
# -> Parrot_l1_covariance.latency_trace.out
# -> Parrot_l1_trmm.latency_trace.out
# -> Parrot_l1_lu.latency_trace.out
# -> Parrot_l1_bicg.latency_trace.out
# -> Parrot_l1_3mm.latency_trace.out
# -> Parrot_l1_cholesky.latency_trace.out
# -> Parrot_l1_seidel-2d.latency_trace.out
# -> Parrot_l1_jacobi-1d.latency_trace.out
# -> Parrot_l1_gemver.latency_trace.out
# Done loading files.
pct acc threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
0.722365 2.99902 0.6 50000 3 20 1500 5 0.5 4
0.42944 0.244749 0.6 50000 3 25 1500 10 0.5 10
0.736355 2.58226 0.65 50000 3 20 1500 10 0.5 4
0.509208 0.502223 0.6 50000 3 20 1500 10 0.5 10
0.602895 0.471201 0.65 50000 3 20 1000 10 0.5 10
0.509208 0.502223 0.65 50000 3 20 1500 10 0.5 10
0.736355 2.58226 0.6 50000 3 20 1500 10 0.5 4
0.720768 2.69185 0.65 50000 3 20 1500 5 0.5 4
0.683585 1.91572 0.6 50000 3 25 1500 5 0.5 10
0.683585 1.91572 0.65 50000 3 25 1500 5 0.5 10
0.602895 0.471201 0.6 50000 3 20 1000 10 0.5 10
0.42944 0.244749 0.65 50000 3 25 1500 10 0.5 10
0.632058 1.22625 0.65 50000 3 20 1500 10 0.5 6
0.722666 2.6843 0.6 50000 3 20 1500 5 0.5 6
0.801574 5.41035 0.6 50000 3 25 1500 10 1 4
0.632058 1.22625 0.6 50000 3 20 1500 10 0.5 6
0.743359 4.39718 0.6 50000 3 20 1500 10 1 4
0.751913 3.02922 0.65 50000 3 20 1000 10 1 4
0.722666 2.6843 0.65 50000 3 20 1500 5 0.5 6
0.741837 4.02613 0.65 50000 3 20 1500 10 1 4
0.806808 5.23006 0.6 50000 3 25 1500 5 1 4
0.807915 5.48035 0.65 50000 3 25 1500 5 1 4
0.745673 3.13704 0.6 50000 3 20 1000 10 1 4
0.805371 4.7253 0.65 50000 3 25 1500 10 1 4
0.510449 0.507964 0.65 50000 3 20 1500 10 0.5 8
0.74584 3.31269 0.6 50000 3 25 1500 10 1 6
0.699634 2.07551 0.6 50000 3 20 1500 5 0.5 8
0.510449 0.507964 0.6 50000 3 20 1500 10 0.5 8
0.741694 2.69697 0.6 50000 3 20 1500 10 1 6
0.742232 2.70753 0.65 50000 3 20 1000 10 1 6
0.699634 2.07551 0.65 50000 3 20 1500 5 0.5 8
0.741694 2.69697 0.65 50000 3 20 1500 10 1 6
0.780738 4.71009 0.6 50000 3 25 1500 5 1 6
0.742232 2.70753 0.6 50000 3 20 1000 10 1 6
0.781844 4.96038 0.65 50000 3 25 1500 5 1 6
0.749637 2.62477 0.65 50000 3 25 1500 10 1 6
0.726846 2.61923 0.65 50000 3 25 1500 5 1 8
0.745207 2.71309 0.65 50000 3 20 1500 5 1 8
0.747731 4.6804 0.65 50000 3 25 1000 5 1 8
0.748811 4.52221 0.65 50000 3 25 1500 5 0.5 4
0.698011 2.09814 0.65 50000 3 25 1000 5 0.5 10
0.601209 0.555397 0.65 50000 3 25 1000 10 0.5 10
0.745309 2.87533 0.6 50000 3 20 1500 5 1 8
0.718624 2.05611 0.65 50000 3 20 1500 10 1 8
0.741722 2.79545 0.6 50000 3 25 1000 10 1 8
0.698011 2.09814 0.6 50000 3 25 1000 5 0.5 10
0.740204 2.73207 0.65 50000 3 25 1500 10 0.5 4
0.718097 1.97133 0.65 50000 3 25 1500 10 1 8
0.718097 1.97133 0.6 50000 3 25 1500 10 1 8
0.69376 1.9559 0.65 50000 3 20 1000 5 0.5 10
0.891155 5.21068 0.6 50000 3 25 1500 5 2 6
0.801697 4.45929 0.65 50000 3 20 1000 10 2 6
0.749554 4.42181 0.6 50000 3 25 1500 5 0.5 4
0.747193 4.43747 0.6 50000 3 25 1000 5 1 8
0.601209 0.555397 0.6 50000 3 25 1000 10 0.5 10
0.741145 2.56214 0.65 50000 3 20 1000 10 0.5 4
0.69376 1.9559 0.6 50000 3 20 1000 5 0.5 10
0.763986 4.80457 0.6 50000 3 25 1000 10 2 6
0.882489 6.19055 0.6 50000 3 25 1000 5 2 6
0.792545 4.07273 0.6 50000 3 20 1000 10 2 6
0.699634 2.07551 0.65 50000 3 20 1500 5 0.5 10
0.742132 2.65691 0.65 50000 3 20 1000 10 1 8
0.894553 5.72663 0.65 50000 3 25 1500 5 2 6
0.742132 2.65691 0.6 50000 3 20 1000 10 1 8
0.722135 3.1624 0.6 50000 3 25 1000 5 0.5 4
0.721056 2.73889 0.65 50000 3 25 1000 5 0.5 4
0.718624 2.05611 0.6 50000 3 20 1500 10 1 8
0.740204 2.73207 0.6 50000 3 25 1500 10 0.5 4
0.888065 6.3475 0.65 50000 3 25 1000 5 2 6
0.741722 2.79545 0.65 50000 3 25 1000 10 1 8
0.866214 6.57004 0.65 50000 3 20 1000 5 2 6
0.810771 4.92647 0.65 50000 3 25 1500 10 2 6
0.803027 5.44009 0.65 50000 3 20 1500 10 2 6
0.73491 2.64406 0.6 50000 3 20 1000 10 0.5 4
0.807395 4.91307 0.6 50000 3 25 1500 10 2 6
0.7304 3.71999 0.65 50000 3 20 1000 5 0.5 4
0.723046 2.08182 0.6 50000 3 25 1500 5 1 8
0.803128 5.60233 0.6 50000 3 20 1500 10 2 6
0.699634 2.07551 0.6 50000 3 20 1500 5 0.5 10
0.749644 4.93194 0.65 50000 3 20 1000 5 1 8
0.770277 4.83027 0.65 50000 3 25 1000 10 2 6
0.748299 4.51643 0.6 50000 3 20 1000 5 1 8
0.91466 6.07841 0.6 50000 3 20 1500 5 2 6
0.734261 2.68598 0.6 50000 3 25 1000 10 0.5 4
