# Testing 1296 configurations 
# Reading [4] trace.out files from [../parrot-traces/polybench-subset-normal2/]
# -> Parrot_l1_2mm.latency_trace.out
# -> Parrot_l1_deriche.latency_trace.out
# -> Parrot_l1_correlation.latency_trace.out
# -> Parrot_l1_adi.latency_trace.out
# Done loading files.
pct acc threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
0.639601 14.2934 0.6 10000 3 25 1500 10 1 4
0.0482233 3.76512 0.5 10000 3 25 1500 10 0.5 8
0.571725 14.3756 0.6 10000 3 20 1500 5 0.5 10
0.243456 4.26962 0.65 10000 3 50 1000 10 0.5 8
0.700178 8.59838 0.6 50000 3 20 1500 10 1 4
0.532676 7.63314 0.6 50000 3 25 1000 10 0.5 6
0.497408 0.296003 0.5 50000 3 20 1500 5 0.5 8
0.615665 3.83306 0.5 50000 3 25 1500 10 0.5 4
0.655737 7.6614 0.6 100000 3 25 1000 5 0.5 6
0.651212 7.71079 0.65 100000 3 20 1000 5 1 10
0.67277 11.8194 0.65 100000 3 20 1500 10 2 8
0.643928 7.69323 0.6 100000 3 25 1500 10 1 6
0.694588 4.45058 0.5 50000 3 20 1500 10 2 4
0.589957 3.84178 0.5 10000 3 25 1000 10 1 6
0.561509 0.379775 0.5 100000 3 50 1000 10 1 6
0.663119 9.55496 0.6 50000 3 50 1000 5 1 6
0.663777 9.75955 0.6 50000 3 25 1500 5 2 6
0.277364 0.163933 0.65 50000 3 50 1500 10 1 10
0.662481 3.74774 0.5 10000 3 20 1500 5 0.5 4
0.731282 15.1933 0.6 10000 3 25 1000 10 2 4
0.727045 8.82098 0.6 100000 3 20 1500 5 1 4
0.365616 7.6978 0.65 100000 3 25 1500 10 0.5 6
0.627691 7.70576 0.65 100000 3 20 1500 5 0.5 8
0.274426 0.111757 0.65 50000 3 20 1500 10 0.5 8
0.6214 7.7186 0.6 50000 3 20 1000 5 0.5 10
0.0801436 3.70705 0.5 100000 3 20 1000 10 0.5 6
0.700789 4.35377 0.5 50000 3 50 1000 5 2 4
0.319579 4.30004 0.6 100000 3 50 1000 10 0.5 6
0.687764 4.72791 0.5 100000 3 20 1500 5 2 8
0.485648 4.28618 0.65 50000 3 50 1000 5 0.5 10
