# Testing 192 configurations 
# Reading [30] trace.out files from [../parrot-traces/polybench-v0.1-normal/]
# -> Parrot_l1_2mm.latency_trace.out
# -> Parrot_l1_jacobi-2d.latency_trace.out
# -> Parrot_l1_mvt.latency_trace.out
# -> Parrot_l1_floyd-warshall.latency_trace.out
# -> Parrot_l1_trisolv.latency_trace.out
# -> Parrot_l1_deriche.latency_trace.out
# -> Parrot_l1_symm.latency_trace.out
# -> Parrot_l1_syr2k.latency_trace.out
# -> Parrot_l1_nussinov.latency_trace.out
# -> Parrot_l1_heat-3d.latency_trace.out
# -> Parrot_l1_doitgen.latency_trace.out
# -> Parrot_l1_covariance.latency_trace.out
# -> Parrot_l1_trmm.latency_trace.out
# -> Parrot_l1_lu.latency_trace.out
# -> Parrot_l1_bicg.latency_trace.out
# -> Parrot_l1_3mm.latency_trace.out
# -> Parrot_l1_cholesky.latency_trace.out
# -> Parrot_l1_seidel-2d.latency_trace.out
# -> Parrot_l1_jacobi-1d.latency_trace.out
# -> Parrot_l1_gemver.latency_trace.out
# -> Parrot_l1_fdtd-2d.latency_trace.out
# -> Parrot_l1_gemm.latency_trace.out
# -> Parrot_l1_gesummv.latency_trace.out
# -> Parrot_l1_correlation.latency_trace.out
# -> Parrot_l1_adi.latency_trace.out
# -> Parrot_l1_durbin.latency_trace.out
# -> Parrot_l1_gramschmidt.latency_trace.out
# -> Parrot_l1_atax.latency_trace.out
# -> Parrot_l1_syrk.latency_trace.out
# -> Parrot_l1_ludcmp.latency_trace.out
# Done loading files.
pct acc threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
0.761872 6.60089 0.6 50000 3 20 1500 10 2 6
0.722538 5.40142 0.65 50000 3 20 1000 5 0.5 4
0.735424 5.92283 0.65 50000 3 25 1500 5 0.5 4
0.718046 4.7624 0.6 50000 3 25 1000 10 1 8
0.723606 4.68827 0.6 50000 3 25 1000 10 0.5 4
0.725196 4.65614 0.6 50000 3 20 1000 10 0.5 4
0.734444 4.7857 0.65 50000 3 20 1500 5 1 8
0.888317 7.9368 0.65 50000 3 20 1500 5 2 6
0.764846 6.13188 0.6 50000 3 25 1500 10 2 6
0.722071 4.8717 0.6 50000 3 20 1500 5 1 8
0.720287 5.06881 0.6 50000 3 20 1000 5 0.5 4
0.806048 6.53562 0.65 50000 3 20 1500 5 1 4
0.689109 4.54477 0.6 50000 3 25 1500 5 0.5 6
0.656955 3.5619 0.65 50000 3 25 1500 10 0.5 6
0.713822 4.28688 0.65 50000 3 20 1000 10 1 10
0.784516 6.58482 0.6 50000 3 25 1000 5 2 8
0.745031 6.21343 0.65 50000 3 25 1000 10 2 8
0.792958 7.69294 0.6 50000 3 20 1000 5 2 8
0.674782 3.90094 0.65 50000 3 20 1000 10 0.5 6
0.78111 6.82238 0.6 50000 3 20 1000 5 1 4
0.674113 3.47021 0.65 50000 3 25 1500 10 1 10
0.79612 7.93185 0.65 50000 3 20 1000 5 2 8
0.703754 4.53395 0.6 50000 3 25 1000 5 1 10
0.703578 4.23822 0.6 50000 3 20 1000 5 1 10
0.71911 5.46359 0.65 50000 3 20 1500 10 2 8
0.828254 6.8812 0.6 50000 3 25 1000 5 1 4
0.701378 4.26474 0.6 50000 3 20 1000 10 1 10
0.80391 6.43417 0.6 50000 3 20 1500 5 1 4
0.644511 3.53973 0.6 50000 3 25 1500 10 0.5 6
0.732546 6.11908 0.6 50000 3 25 1000 10 2 8
0.674113 3.47021 0.6 50000 3 25 1500 10 1 10
0.702163 4.32029 0.6 50000 3 25 1000 10 1 10
0.782291 6.4088 0.65 50000 3 25 1500 5 2 8
0.685468 3.59491 0.65 50000 3 25 1500 5 1 10
0.769984 6.19844 0.6 50000 3 25 1000 10 1 4
0.701605 4.20192 0.6 50000 3 20 1500 10 1 10
0.707043 5.56365 0.6 50000 3 20 1500 10 2 8
0.721054 5.55176 0.6 50000 3 20 1000 10 2 8
0.7162 4.57592 0.65 50000 3 25 1000 5 1 10
0.767424 5.98459 0.6 50000 3 25 1500 5 2 8
0.769377 5.92908 0.65 50000 3 25 1000 10 1 4
0.785802 6.9367 0.65 50000 3 20 1000 5 1 4
0.646059 3.64863 0.65 50000 3 25 1000 10 0.5 6
0.812756 6.98139 0.65 50000 3 25 1000 5 1 4
0.70397 4.73665 0.6 50000 3 20 1500 5 1 10
0.685468 3.59491 0.6 50000 3 25 1500 5 1 10
0.662337 3.87876 0.6 50000 3 20 1000 10 0.5 6
0.801362 6.74044 0.6 50000 3 20 1500 5 2 8
0.713712 4.6758 0.65 50000 3 20 1000 5 0.5 6
0.633614 3.62648 0.6 50000 3 25 1000 10 0.5 6
0.714049 4.22408 0.65 50000 3 20 1500 10 1 10
0.707368 5.54468 0.6 50000 3 25 1500 10 2 8
0.734458 5.85095 0.65 50000 3 20 1000 10 2 8
0.715851 4.75602 0.65 50000 3 25 1000 5 0.5 6
0.714608 4.34244 0.65 50000 3 25 1000 10 1 10
0.715689 4.74303 0.6 50000 3 25 1000 5 0.5 6
0.800935 6.71216 0.65 50000 3 25 1000 5 2 8
0.716982 4.5374 0.65 50000 3 20 1000 5 1 10
0.700081 4.28363 0.65 50000 3 25 1500 5 0.5 6
0.719387 5.54896 0.65 50000 3 25 1500 10 2 8
0.716342 4.65064 0.65 50000 3 20 1500 5 1 10
0.817622 7.03304 0.65 50000 3 20 1500 5 2 8
0.685551 4.1795 0.6 50000 3 25 1500 5 0.5 8
0.738021 6.58761 0.6 50000 3 20 1000 5 1 6
0.762791 6.5496 0.6 50000 3 20 1000 5 2 10
0.753603 6.50955 0.65 50000 3 20 1500 5 1 6
0.835275 7.15277 0.65 50000 3 20 1000 10 2 4
0.78628 6.81243 0.6 50000 3 20 1500 10 2 4
0.830742 6.99553 0.6 50000 3 20 1000 10 2 4
0.570846 3.02353 0.65 50000 3 25 1500 10 0.5 8
0.717366 5.46309 0.65 50000 3 25 1000 10 2 10
0.847718 7.42053 0.65 50000 3 25 1500 10 2 4
0.704931 5.12951 0.6 50000 3 20 1000 10 2 10
0.730483 4.76544 0.6 50000 3 25 1000 10 1 6
0.751195 6.32804 0.6 50000 3 25 1000 5 2 10
0.813365 7.06084 0.6 50000 3 25 1500 10 2 4
0.777823 7.03608 0.65 50000 3 20 1000 5 2 10
0.730645 4.77843 0.65 50000 3 25 1000 10 1 6
0.813563 6.47726 0.6 50000 3 25 1000 10 2 4
0.603614 2.92602 0.65 50000 3 20 1000 10 0.5 8
0.591169 2.90384 0.6 50000 3 20 1000 10 0.5 8
0.70492 5.42112 0.6 50000 3 25 1000 10 2 10
0.924956 7.70797 0.65 50000 3 25 1000 5 2 4
0.644329 3.64839 0.65 50000 3 25 1000 10 0.5 8
0.705368 5.56 0.6 50000 3 20 1500 10 2 10
0.558401 3.00136 0.6 50000 3 25 1500 10 0.5 8
0.922403 7.21995 0.6 50000 3 20 1500 5 2 4
0.741082 6.63356 0.6 50000 3 20 1500 5 1 6
0.772371 6.25482 0.6 50000 3 25 1000 5 1 6
0.930536 7.51143 0.65 50000 3 25 1500 5 2 4
0.631885 3.62624 0.6 50000 3 25 1000 10 0.5 8
0.888562 7.97359 0.6 50000 3 20 1000 5 2 4
0.717435 5.45995 0.65 50000 3 20 1500 10 2 10
0.766456 5.76382 0.6 50000 3 25 1500 5 2 10
0.718334 5.4287 0.65 50000 3 20 1000 10 2 10
0.759833 6.28748 0.6 50000 3 20 1500 5 2 10
0.739574 6.6559 0.65 50000 3 20 1000 5 1 6
0.791838 6.89837 0.65 50000 3 20 1500 10 2 4
0.941259 7.51036 0.6 50000 3 25 1000 5 2 4
0.771092 6.2408 0.65 50000 3 25 1500 5 2 10
0.772574 6.34001 0.65 50000 3 25 1000 5 1 6
0.697996 4.20166 0.65 50000 3 25 1500 5 0.5 8
0.776094 6.60535 0.65 50000 3 20 1500 5 2 10
0.713565 4.71458 0.65 50000 3 20 1000 5 0.5 8
0.822124 7.17841 0.65 50000 3 25 1000 10 2 4
0.89224 7.29681 0.6 50000 3 25 1500 5 2 4
0.689417 3.96469 0.6 50000 3 25 1500 10 2 10
0.948475 7.4326 0.65 50000 3 20 1500 5 2 4
0.715215 4.76179 0.65 50000 3 25 1000 5 0.5 8
0.70277 4.73965 0.6 50000 3 25 1000 5 0.5 8
0.687944 3.6814 0.65 50000 3 25 1500 10 2 10
0.764257 6.44924 0.65 50000 3 25 1000 5 2 10
0.893238 8.30297 0.65 50000 3 20 1000 5 2 4
0.713557 4.66303 0.6 50000 3 20 1000 5 0.5 6
0.70112 4.69246 0.6 50000 3 20 1000 5 0.5 8
