# Testing 1440 configurations 
# Reading [8] trace.out files from [../experiment-results/Jul-18-11/trace]
# -> Parrot_l1_sp-07.latency_trace.out
# -> Parrot_l1_sp-08.latency_trace.out
# -> Parrot_l1_sp-06.latency_trace.out
# -> Parrot_l1_sp-03.latency_trace.out
# -> Parrot_l1_sp-04.latency_trace.out
# -> Parrot_l1_sp-05.latency_trace.out
# -> Parrot_l1_sp-01.latency_trace.out
# -> Parrot_l1_sp-02.latency_trace.out
# Done loading files.
benchmark pct err len threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
sp-07 0.692325 0.670007 7940209 0.65 100000 3 50 500 5 3 2
sp-08 0.67912 0.0792473 8196207 0.65 100000 3 50 500 5 3 2
sp-06 0.608613 0.161917 7684207 0.65 100000 3 50 500 5 3 2
sp-03 0.730271 0.682853 6916209 0.65 100000 3 50 500 5 3 2
sp-04 0.687962 0.445903 7172209 0.65 100000 3 50 500 5 3 2
sp-05 0.760844 0.787877 7428207 0.65 100000 3 50 500 5 3 2
sp-01 0.882811 0.659117 6404209 0.65 100000 3 50 500 5 3 2
sp-02 0.826207 0.386125 6660207 0.65 100000 3 50 500 5 3 2
sp-07 0 0 7940209 0.65 100000 3 75 200 5 2 4
sp-08 0 0 8196207 0.65 100000 3 75 200 5 2 4
sp-06 0 0 7684207 0.65 100000 3 75 200 5 2 4
sp-03 0 0 6916209 0.65 100000 3 75 200 5 2 4
sp-04 0 0 7172209 0.65 100000 3 75 200 5 2 4
sp-05 0 0 7428207 0.65 100000 3 75 200 5 2 4
sp-01 0 0 6404209 0.65 100000 3 75 200 5 2 4
sp-02 0 0 6660207 0.65 100000 3 75 200 5 2 4
sp-07 0 0 7940209 0.65 100000 3 100 200 5 3 4
sp-08 0 0 8196207 0.65 100000 3 100 200 5 3 4
sp-06 0 0 7684207 0.65 100000 3 100 200 5 3 4
sp-03 0 0 6916209 0.65 100000 3 100 200 5 3 4
sp-04 0.661443 0.679028 7172209 0.65 100000 3 100 200 5 3 4
sp-05 0 0 7428207 0.65 100000 3 100 200 5 3 4
