# Testing 1440 configurations 
# Reading [8] trace.out files from [../experiment-results/Jul-18-12/trace]
# -> Parrot_l1_sp-07.latency_trace.out
# -> Parrot_l1_sp-08.latency_trace.out
# -> Parrot_l1_sp-06.latency_trace.out
# -> Parrot_l1_sp-03.latency_trace.out
# -> Parrot_l1_sp-04.latency_trace.out
# -> Parrot_l1_sp-05.latency_trace.out
# -> Parrot_l1_sp-01.latency_trace.out
# -> Parrot_l1_sp-02.latency_trace.out
# Done loading files.
benchmark pct err len threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
sp-07 0 0 7940207 0.65 100000 3 10 500 5 3 6
sp-08 0 0 8196209 0.65 100000 3 10 500 5 3 6
sp-06 0 0 7684207 0.65 100000 3 10 500 5 3 6
sp-03 0 0 6916209 0.65 100000 3 10 500 5 3 6
sp-04 0 0 7172207 0.65 100000 3 10 500 5 3 6
sp-05 0 0 7428207 0.65 100000 3 10 500 5 3 6
sp-01 0 0 6404209 0.65 100000 3 10 500 5 3 6
sp-02 0.0125371 0.00279992 6660209 0.65 100000 3 10 500 5 3 6
sp-07 0 0 7940207 0.65 100000 3 20 1000 5 2 6
sp-08 0 0 8196209 0.65 100000 3 20 1000 5 2 6
sp-06 0 0 7684207 0.65 100000 3 20 1000 5 2 6
sp-03 0 0 6916209 0.65 100000 3 20 1000 5 2 6
sp-04 0 0 7172207 0.65 100000 3 20 1000 5 2 6
sp-05 0 0 7428207 0.65 100000 3 20 1000 5 2 6
sp-01 0 0 6404209 0.65 100000 3 20 1000 5 2 6
sp-02 0 0 6660209 0.65 100000 3 20 1000 5 2 6
sp-07 0 0 7940207 0.5 100000 3 10 200 5 3 4
sp-08 0 0 8196209 0.5 100000 3 10 200 5 3 4
sp-06 0.691679 0.0208658 7684207 0.5 100000 3 10 200 5 3 4
sp-03 0 0 6916209 0.5 100000 3 10 200 5 3 4
sp-04 0 0 7172207 0.5 100000 3 10 200 5 3 4
sp-05 0 0 7428207 0.5 100000 3 10 200 5 3 4
sp-01 0 0 6404209 0.5 100000 3 10 200 5 3 4
sp-02 0.0112309 0.00279992 6660209 0.5 100000 3 10 200 5 3 4
sp-07 0 0 7940207 0.5 100000 3 20 500 5 2 4
sp-08 0 0 8196209 0.5 100000 3 20 500 5 2 4
sp-06 0 0 7684207 0.5 100000 3 20 500 5 2 4
sp-03 0 0 6916209 0.5 100000 3 20 500 5 2 4
sp-04 0 0 7172207 0.5 100000 3 20 500 5 2 4
sp-05 0 0 7428207 0.5 100000 3 20 500 5 2 4
sp-01 0 0 6404209 0.5 100000 3 20 500 5 2 4
sp-02 0.0135131 0.000799978 6660209 0.5 100000 3 20 500 5 2 4
sp-07 0.620161 0.283437 7940207 0.5 100000 3 10 1000 5 3 2
sp-08 0.639955 0.0360852 8196209 0.5 100000 3 10 1000 5 3 2
sp-06 0.692746 0.162516 7684207 0.5 100000 3 10 1000 5 3 2
sp-03 0 0 6916209 0.5 100000 3 10 1000 5 3 2
sp-04 0.789465 1.25928 7172207 0.5 100000 3 10 1000 5 3 2
sp-05 0.661291 0.045351 7428207 0.5 100000 3 10 1000 5 3 2
sp-01 0.825115 0.191214 6404209 0.5 100000 3 10 1000 5 3 2
sp-02 0.852107 0.94269 6660209 0.5 100000 3 10 1000 5 3 2
sp-07 0.668623 1.19152 7940207 0.65 100000 3 20 200 5 3 2
sp-08 0.561236 0.648577 8196209 0.65 100000 3 20 200 5 3 2
sp-06 0.732568 2.42535 7684207 0.65 100000 3 20 200 5 3 2
sp-03 0.664903 0.0143629 6916209 0.65 100000 3 20 200 5 3 2
sp-04 0.632024 0.229794 7172207 0.65 100000 3 20 200 5 3 2
sp-05 0.755257 0.57408 7428207 0.65 100000 3 20 200 5 3 2
sp-01 0.807627 1.43893 6404209 0.65 100000 3 20 200 5 3 2
sp-02 0.777815 1.27371 6660209 0.65 100000 3 20 200 5 3 2
sp-07 0.575805 0.656075 7940207 0.65 100000 3 10 200 5 2 2
sp-08 0.60267 0.817065 8196209 0.65 100000 3 10 200 5 2 2
sp-06 0.601546 0.00237655 7684207 0.65 100000 3 10 200 5 2 2
sp-03 0.769498 0.268556 6916209 0.65 100000 3 10 200 5 2 2
sp-04 0.48465 0.197915 7172207 0.65 100000 3 10 200 5 2 2
sp-05 0.599015 0.618151 7428207 0.65 100000 3 10 200 5 2 2
sp-01 0.825115 0.0662657 6404209 0.65 100000 3 10 200 5 2 2
sp-02 0.729888 0.615182 6660209 0.65 100000 3 10 200 5 2 2
sp-07 0.766069 7.77385 7940207 0.5 10000 3 10 50 5 2 2
sp-08 0.743296 7.54811 8196209 0.5 10000 3 10 50 5 2 2
sp-06 0 0 7684207 0.5 10000 3 10 50 5 2 2
sp-03 0.882732 8.40619 6916209 0.5 10000 3 10 50 5 2 2
sp-04 0.849802 7.54982 7172207 0.5 10000 3 10 50 5 2 2
sp-05 0 0 7428207 0.5 10000 3 10 50 5 2 2
sp-01 0.702805 0.14785 6404209 0.5 10000 3 10 50 5 2 2
sp-02 0.0704933 0.00336159 6660209 0.5 10000 3 10 50 5 2 2
sp-07 0 0 7940207 0.65 200000 3 100 100 5 2 6
sp-08 0 0 8196209 0.65 200000 3 100 100 5 2 6
sp-06 0 0 7684207 0.65 200000 3 100 100 5 2 6
sp-03 0 0 6916209 0.65 200000 3 100 100 5 2 6
sp-04 0 0 7172207 0.65 200000 3 100 100 5 2 6
sp-05 0 0 7428207 0.65 200000 3 100 100 5 2 6
sp-01 0 0 6404209 0.65 200000 3 100 100 5 2 6
sp-02 0 0 6660209 0.65 200000 3 100 100 5 2 6
sp-07 0 0 7940207 0.65 200000 3 20 1000 5 3 6
sp-08 0 0 8196209 0.65 200000 3 20 1000 5 3 6
sp-06 0 0 7684207 0.65 200000 3 20 1000 5 3 6
sp-03 0 0 6916209 0.65 200000 3 20 1000 5 3 6
sp-04 0 0 7172207 0.65 200000 3 20 1000 5 3 6
sp-05 0 0 7428207 0.65 200000 3 20 1000 5 3 6
sp-01 0 0 6404209 0.65 200000 3 20 1000 5 3 6
sp-02 0 0 6660209 0.65 200000 3 20 1000 5 3 6
sp-07 0 0 7940207 0.5 200000 3 20 100 5 3 6
sp-08 0 0 8196209 0.5 200000 3 20 100 5 3 6
sp-06 0 0 7684207 0.5 200000 3 20 100 5 3 6
sp-03 0 0 6916209 0.5 200000 3 20 100 5 3 6
sp-04 0 0 7172207 0.5 200000 3 20 100 5 3 6
sp-05 0 0 7428207 0.5 200000 3 20 100 5 3 6
sp-01 0 0 6404209 0.5 200000 3 20 100 5 3 6
sp-02 0 0 6660209 0.5 200000 3 20 100 5 3 6
sp-07 0 0 7940207 0.65 200000 3 75 50 5 3 6
sp-08 0 0 8196209 0.65 200000 3 75 50 5 3 6
sp-06 0 0 7684207 0.65 200000 3 75 50 5 3 6
sp-03 0 0 6916209 0.65 200000 3 75 50 5 3 6
sp-04 0 0 7172207 0.65 200000 3 75 50 5 3 6
sp-05 0 0 7428207 0.65 200000 3 75 50 5 3 6
sp-01 0 0 6404209 0.65 200000 3 75 50 5 3 6
sp-02 0 0 6660209 0.65 200000 3 75 50 5 3 6
sp-07 0 0 7940207 0.5 200000 3 50 100 5 2 2
sp-08 0.590933 1.39394 8196209 0.5 200000 3 50 100 5 2 2
sp-06 0 0 7684207 0.5 200000 3 50 100 5 2 2
sp-03 0.672508 0.234336 6916209 0.5 200000 3 50 100 5 2 2
sp-04 0.586557 1.13151 7172207 0.5 200000 3 50 100 5 2 2
sp-05 0.650979 1.79813 7428207 0.5 200000 3 50 100 5 2 2
sp-01 0.596734 0.107891 6404209 0.5 200000 3 50 100 5 2 2
sp-02 0.635882 1.17679 6660209 0.5 200000 3 50 100 5 2 2
sp-07 0.590036 0.158436 7940207 0.65 200000 3 10 200 5 3 2
sp-08 0.46385 0.0206521 8196209 0.65 200000 3 10 200 5 3 2
sp-06 0.602405 0.0324468 7684207 0.65 200000 3 10 200 5 3 2
sp-03 0.730112 1.86245 6916209 0.65 200000 3 10 200 5 3 2
sp-04 0.625192 0.146323 7172207 0.65 200000 3 10 200 5 3 2
sp-05 0.654129 0.0552089 7428207 0.65 200000 3 10 200 5 3 2
sp-01 0.725025 1.15816 6404209 0.65 200000 3 10 200 5 3 2
sp-02 0.50422 0.315877 6660209 0.65 200000 3 10 200 5 3 2
sp-07 0 0 7940207 0.65 200000 3 20 100 5 2 4
sp-08 0 0 8196209 0.65 200000 3 20 100 5 2 4
sp-06 0 0 7684207 0.65 200000 3 20 100 5 2 4
sp-03 0 0 6916209 0.65 200000 3 20 100 5 2 4
sp-04 0 0 7172207 0.65 200000 3 20 100 5 2 4
sp-05 0 0 7428207 0.65 200000 3 20 100 5 2 4
sp-01 0 0 6404209 0.65 200000 3 20 100 5 2 4
sp-02 0 0 6660209 0.65 200000 3 20 100 5 2 4
sp-07 0 0 7940207 0.5 200000 3 10 100 5 2 6
sp-08 0 0 8196209 0.5 200000 3 10 100 5 2 6
sp-06 0 0 7684207 0.5 200000 3 10 100 5 2 6
sp-03 0 0 6916209 0.5 200000 3 10 100 5 2 6
sp-04 0 0 7172207 0.5 200000 3 10 100 5 2 6
sp-05 0 0 7428207 0.5 200000 3 10 100 5 2 6
sp-01 0 0 6404209 0.5 200000 3 10 100 5 2 6
sp-02 0 0 6660209 0.5 200000 3 10 100 5 2 6
sp-07 0 0 7940207 0.5 200000 3 10 500 5 2 4
sp-08 0 0 8196209 0.5 200000 3 10 500 5 2 4
sp-06 0 0 7684207 0.5 200000 3 10 500 5 2 4
sp-03 0 0 6916209 0.5 200000 3 10 500 5 2 4
sp-04 0 0 7172207 0.5 200000 3 10 500 5 2 4
sp-05 0 0 7428207 0.5 200000 3 10 500 5 2 4
sp-01 0 0 6404209 0.5 200000 3 10 500 5 2 4
sp-02 0 0 6660209 0.5 200000 3 10 500 5 2 4
sp-07 0.411098 0.0534397 7940207 0.65 200000 3 75 1000 5 3 2
sp-08 0 0 8196209 0.65 200000 3 75 1000 5 3 2
sp-06 0.637568 0.135473 7684207 0.65 200000 3 75 1000 5 3 2
sp-03 0.551344 0.0104706 6916209 0.65 200000 3 75 1000 5 3 2
sp-04 0.645019 0.0689644 7172207 0.65 200000 3 75 1000 5 3 2
sp-05 0.630328 0.120615 7428207 0.65 200000 3 75 1000 5 3 2
sp-01 0 0 6404209 0.65 200000 3 75 1000 5 3 2
sp-02 0.644756 0.108398 6660209 0.65 200000 3 75 1000 5 3 2
sp-07 0.631874 0.571215 7940207 0.65 200000 3 25 500 5 3 2
sp-08 0.618055 0.41524 8196209 0.65 200000 3 25 500 5 3 2
sp-06 0.663856 0.971106 7684207 0.65 200000 3 25 500 5 3 2
sp-03 0.7589 1.55148 6916209 0.65 200000 3 25 500 5 3 2
sp-04 0.711734 1.34275 7172207 0.65 200000 3 25 500 5 3 2
sp-05 0.688485 0.350159 7428207 0.65 200000 3 25 500 5 3 2
sp-01 0.71144 0.562009 6404209 0.65 200000 3 25 500 5 3 2
sp-02 0.631018 0.176964 6660209 0.65 200000 3 25 500 5 3 2
sp-07 0 0 7940207 0.65 200000 3 75 200 5 3 4
sp-08 0 0 8196209 0.65 200000 3 75 200 5 3 4
sp-06 0 0 7684207 0.65 200000 3 75 200 5 3 4
sp-03 0 0 6916209 0.65 200000 3 75 200 5 3 4
sp-04 0 0 7172207 0.65 200000 3 75 200 5 3 4
sp-05 0 0 7428207 0.65 200000 3 75 200 5 3 4
sp-01 0 0 6404209 0.65 200000 3 75 200 5 3 4
sp-02 0 0 6660209 0.65 200000 3 75 200 5 3 4
sp-07 0.47281 0.101679 7940207 0.5 200000 3 100 200 5 2 2
sp-08 0.613773 0.630431 8196209 0.5 200000 3 100 200 5 2 2
sp-06 0.548529 0.0378722 7684207 0.5 200000 3 100 200 5 2 2
sp-03 0.680432 0.0112705 6916209 0.5 200000 3 100 200 5 2 2
sp-04 0.669948 0.690652 7172207 0.5 200000 3 100 200 5 2 2
sp-05 0 0 7428207 0.5 200000 3 100 200 5 2 2
sp-01 0 0 6404209 0.5 200000 3 100 200 5 2 2
sp-02 0.593827 0.0263917 6660209 0.5 200000 3 100 200 5 2 2
sp-07 0.617579 0.0905341 7940207 0.5 200000 3 75 100 5 3 2
sp-08 0.482078 0.887359 8196209 0.5 200000 3 75 100 5 3 2
sp-06 0.624542 0.0622091 7684207 0.5 200000 3 75 100 5 3 2
sp-03 0.6515 1.09437 6916209 0.5 200000 3 75 100 5 3 2
sp-04 0.641115 0.0751038 7172207 0.5 200000 3 75 100 5 3 2
sp-05 0.673205 1.44103 7428207 0.5 200000 3 75 100 5 3 2
sp-01 0.681459 1.06236 6404209 0.5 200000 3 75 100 5 3 2
sp-02 0 0 6660209 0.5 200000 3 75 100 5 3 2
sp-07 0 0 7940207 0.65 200000 3 10 50 5 3 4
sp-08 0 0 8196209 0.65 200000 3 10 50 5 3 4
sp-06 0 0 7684207 0.65 200000 3 10 50 5 3 4
sp-03 0 0 6916209 0.65 200000 3 10 50 5 3 4
sp-04 0 0 7172207 0.65 200000 3 10 50 5 3 4
sp-05 0 0 7428207 0.65 200000 3 10 50 5 3 4
sp-01 0 0 6404209 0.65 200000 3 10 50 5 3 4
sp-02 0 0 6660209 0.65 200000 3 10 50 5 3 4
sp-07 0 0 7940207 0.5 200000 3 50 1000 5 3 4
sp-08 0 0 8196209 0.5 200000 3 50 1000 5 3 4
sp-06 0 0 7684207 0.5 200000 3 50 1000 5 3 4
sp-03 0 0 6916209 0.5 200000 3 50 1000 5 3 4
sp-04 0 0 7172207 0.5 200000 3 50 1000 5 3 4
sp-05 0 0 7428207 0.5 200000 3 50 1000 5 3 4
sp-01 0 0 6404209 0.5 200000 3 50 1000 5 3 4
sp-02 0 0 6660209 0.5 200000 3 50 1000 5 3 4
sp-07 0 0 7940207 0.5 200000 3 50 200 5 3 6
sp-08 0 0 8196209 0.5 200000 3 50 200 5 3 6
sp-06 0 0 7684207 0.5 200000 3 50 200 5 3 6
sp-03 0 0 6916209 0.5 200000 3 50 200 5 3 6
sp-04 0 0 7172207 0.5 200000 3 50 200 5 3 6
sp-05 0 0 7428207 0.5 200000 3 50 200 5 3 6
sp-01 0 0 6404209 0.5 200000 3 50 200 5 3 6
sp-02 0 0 6660209 0.5 200000 3 50 200 5 3 6
sp-07 0 0 7940207 0.5 200000 3 25 1000 5 2 4
sp-08 0 0 8196209 0.5 200000 3 25 1000 5 2 4
