# Testing 1440 configurations 
# Reading [8] trace.out files from [../experiment-results/Jul-18-9/trace]
# -> Parrot_l1_sp-07.latency_trace.out
# -> Parrot_l1_sp-08.latency_trace.out
# -> Parrot_l1_sp-06.latency_trace.out
# -> Parrot_l1_sp-03.latency_trace.out
# -> Parrot_l1_sp-04.latency_trace.out
# -> Parrot_l1_sp-05.latency_trace.out
# -> Parrot_l1_sp-01.latency_trace.out
# -> Parrot_l1_sp-02.latency_trace.out
# Done loading files.
benchmark pct err len threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
sp-07 0 0 7940207 0.65 100000 3 20 1000 5 2 6
sp-08 0 0 8196207 0.65 100000 3 20 1000 5 2 6
sp-06 0 0 7684207 0.65 100000 3 20 1000 5 2 6
sp-03 0 0 6916209 0.65 100000 3 20 1000 5 2 6
sp-04 0 0 7172209 0.65 100000 3 20 1000 5 2 6
sp-05 0 0 7428207 0.65 100000 3 20 1000 5 2 6
sp-01 0 0 6404207 0.65 100000 3 20 1000 5 2 6
sp-02 0 0 6660209 0.65 100000 3 20 1000 5 2 6
sp-07 0.547216 0.0392494 7940207 0.65 100000 3 10 200 5 2 2
sp-08 0.667383 1.69919 8196207 0.65 100000 3 10 200 5 2 2
sp-06 0.582 1.04868 7684207 0.65 100000 3 10 200 5 2 2
sp-03 0.628207 1.02666 6916209 0.65 100000 3 10 200 5 2 2
sp-04 0.712641 1.031 7172209 0.65 100000 3 10 200 5 2 2
sp-05 0.532431 0.636294 7428207 0.65 100000 3 10 200 5 2 2
sp-01 0.803098 1.3793 6404207 0.65 100000 3 10 200 5 2 2
sp-02 0.788745 0.439927 6660209 0.65 100000 3 10 200 5 2 2
sp-07 0 0 7940207 0.5 100000 3 20 500 5 2 4
sp-08 0 0 8196207 0.5 100000 3 20 500 5 2 4
sp-06 0 0 7684207 0.5 100000 3 20 500 5 2 4
sp-03 0 0 6916209 0.5 100000 3 20 500 5 2 4
sp-04 0 0 7172209 0.5 100000 3 20 500 5 2 4
sp-05 0 0 7428207 0.5 100000 3 20 500 5 2 4
sp-01 0 0 6404207 0.5 100000 3 20 500 5 2 4
sp-02 0 0 6660209 0.5 100000 3 20 500 5 2 4
sp-07 0.66613 0.151757 7940207 0.5 100000 3 10 1000 5 3 2
sp-08 0.46219 0.0604246 8196207 0.5 100000 3 10 1000 5 3 2
sp-06 0.69639 0.753224 7684207 0.5 100000 3 10 1000 5 3 2
sp-03 0.793095 0.442967 6916209 0.5 100000 3 10 1000 5 3 2
sp-04 0.682803 0.304083 7172209 0.5 100000 3 10 1000 5 3 2
sp-05 0.763065 0.935254 7428207 0.5 100000 3 10 1000 5 3 2
sp-01 0.868055 0.726472 6404207 0.5 100000 3 10 1000 5 3 2
