# Testing 1440 configurations 
# Reading [8] trace.out files from [../experiment-results/Jul-18-14/trace]
# -> Parrot_l1_sp-07.latency_trace.out
# -> Parrot_l1_sp-08.latency_trace.out
# -> Parrot_l1_sp-06.latency_trace.out
# -> Parrot_l1_sp-03.latency_trace.out
# -> Parrot_l1_sp-04.latency_trace.out
# -> Parrot_l1_sp-05.latency_trace.out
# -> Parrot_l1_sp-01.latency_trace.out
# -> Parrot_l1_sp-02.latency_trace.out
# Done loading files.
benchmark pct err len threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
sp-07 0.87387 0.27859 7940207 0.65 100000 3 50 500 5 3 2
sp-08 0.691931 0.668178 8196209 0.65 100000 3 50 500 5 3 2
sp-06 0.715585 0.259836 7684207 0.65 100000 3 50 500 5 3 2
sp-03 0.795553 0.533241 6916209 0.65 100000 3 50 500 5 3 2
sp-04 0.787374 0.164267 7172209 0.65 100000 3 50 500 5 3 2
sp-05 0.651464 0.356684 7428207 0.65 100000 3 50 500 5 3 2
sp-01 0.866104 0.431155 6404207 0.65 100000 3 50 500 5 3 2
sp-02 0.83439 0.111148 6660209 0.65 100000 3 50 500 5 3 2
sp-07 0.154278 0.000917908 7940207 0.5 100000 3 75 1000 5 3 4
sp-08 0 0 8196209 0.5 100000 3 75 1000 5 3 4
sp-06 0 0 7684207 0.5 100000 3 75 1000 5 3 4
sp-03 0 0 6916209 0.5 100000 3 75 1000 5 3 4
sp-04 0 0 7172209 0.5 100000 3 75 1000 5 3 4
sp-05 0 0 7428207 0.5 100000 3 75 1000 5 3 4
sp-01 0 0 6404207 0.5 100000 3 75 1000 5 3 4
sp-02 0 0 6660209 0.5 100000 3 75 1000 5 3 4
sp-07 0.16118 0.000463026 7940207 0.5 100000 3 50 200 5 2 6
sp-08 0 0 8196209 0.5 100000 3 50 200 5 2 6
sp-06 0 0 7684207 0.5 100000 3 50 200 5 2 6
sp-03 0 0 6916209 0.5 100000 3 50 200 5 2 6
sp-04 0 0 7172209 0.5 100000 3 50 200 5 2 6
sp-05 0 0 7428207 0.5 100000 3 50 200 5 2 6
sp-01 0 0 6404207 0.5 100000 3 50 200 5 2 6
sp-02 0.0104201 0.00139998 6660209 0.5 100000 3 50 200 5 2 6
sp-07 0.160575 0.000415366 7940207 0.65 100000 3 25 1000 5 3 6
sp-08 0 0 8196209 0.65 100000 3 25 1000 5 3 6
sp-06 0 0 7684207 0.65 100000 3 25 1000 5 3 6
sp-03 0 0 6916209 0.65 100000 3 25 1000 5 3 6
sp-04 0 0 7172209 0.65 100000 3 25 1000 5 3 6
sp-05 0 0 7428207 0.65 100000 3 25 1000 5 3 6
sp-01 0 0 6404207 0.65 100000 3 25 1000 5 3 6
sp-02 0 0 6660209 0.65 100000 3 25 1000 5 3 6
sp-07 0.651306 0.455654 7940207 0.5 100000 3 100 100 5 3 2
sp-08 0.526964 0.112086 8196209 0.5 100000 3 100 100 5 3 2
