# Testing 1440 configurations 
# Reading [8] trace.out files from [../experiment-results/Jul-18-6/trace]
# -> Parrot_l1_sp-07.latency_trace.out
# -> Parrot_l1_sp-08.latency_trace.out
# -> Parrot_l1_sp-06.latency_trace.out
# -> Parrot_l1_sp-03.latency_trace.out
# -> Parrot_l1_sp-04.latency_trace.out
# -> Parrot_l1_sp-05.latency_trace.out
# -> Parrot_l1_sp-01.latency_trace.out
# -> Parrot_l1_sp-02.latency_trace.out
# Done loading files.
benchmark pct err len threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
sp-07 0 0 7940209 0.65 100000 3 10 500 5 3 6
sp-08 0.194602 0.0017874 8196209 0.65 100000 3 10 500 5 3 6
sp-06 0 0 7684207 0.65 100000 3 10 500 5 3 6
sp-03 0 0 6916207 0.65 100000 3 10 500 5 3 6
sp-04 0.0829591 0.00113326 7172207 0.65 100000 3 10 500 5 3 6
sp-05 0 0 7428209 0.65 100000 3 10 500 5 3 6
sp-01 0 0 6404209 0.65 100000 3 10 500 5 3 6
sp-02 0 0 6660207 0.65 100000 3 10 500 5 3 6
sp-07 0 0 7940209 0.5 100000 3 10 200 5 3 4
sp-08 0.1947 0.00578717 8196209 0.5 100000 3 10 200 5 3 4
sp-06 0 0 7684207 0.5 100000 3 10 200 5 3 4
sp-03 0 0 6916207 0.5 100000 3 10 200 5 3 4
sp-04 0.0811187 0.0068662 7172207 0.5 100000 3 10 200 5 3 4
sp-05 0 0 7428209 0.5 100000 3 10 200 5 3 4
sp-01 0 0 6404209 0.5 100000 3 10 200 5 3 4
sp-02 0 0 6660207 0.5 100000 3 10 200 5 3 4
sp-07 0 0 7940209 0.5 100000 3 20 500 5 2 4
sp-08 0.193992 0.000212488 8196209 0.5 100000 3 20 500 5 2 4
sp-06 0 0 7684207 0.5 100000 3 20 500 5 2 4
sp-03 0 0 6916207 0.5 100000 3 20 500 5 2 4
sp-04 0.082262 0.00113326 7172207 0.5 100000 3 20 500 5 2 4
sp-05 0 0 7428209 0.5 100000 3 20 500 5 2 4
sp-01 0 0 6404209 0.5 100000 3 20 500 5 2 4
sp-02 0 0 6660207 0.5 100000 3 20 500 5 2 4
sp-07 0 0 7940209 0.65 100000 3 20 1000 5 2 6
sp-08 0.192772 0.000212488 8196209 0.65 100000 3 20 1000 5 2 6
sp-06 0 0 7684207 0.65 100000 3 20 1000 5 2 6
sp-03 0 0 6916207 0.65 100000 3 20 1000 5 2 6
sp-04 0.0808677 0.000133324 7172207 0.65 100000 3 20 1000 5 2 6
sp-05 0 0 7428209 0.65 100000 3 20 1000 5 2 6
sp-01 0 0 6404209 0.65 100000 3 20 1000 5 2 6
sp-02 0 0 6660207 0.65 100000 3 20 1000 5 2 6
sp-07 0.575805 0.680776 7940209 0.65 100000 3 10 200 5 2 2
sp-08 0.660965 0.0207798 8196209 0.65 100000 3 10 200 5 2 2
sp-06 0.425861 0.477404 7684207 0.65 100000 3 10 200 5 2 2
sp-03 0 0 6916207 0.65 100000 3 10 200 5 2 2
sp-04 0.517582 0.349522 7172207 0.65 100000 3 10 200 5 2 2
sp-05 0.455535 0.686332 7428209 0.65 100000 3 10 200 5 2 2
sp-01 0.575654 0.653327 6404209 0.65 100000 3 10 200 5 2 2
sp-02 0.677698 0.166161 6660207 0.65 100000 3 10 200 5 2 2
sp-07 0 0 7940209 0.5 10000 3 10 50 5 2 2
sp-08 0.664991 0.0642056 8196209 0.5 10000 3 10 50 5 2 2
sp-06 0.791872 7.55342 7684207 0.5 10000 3 10 50 5 2 2
sp-03 0.880274 8.11294 6916207 0.5 10000 3 10 50 5 2 2
sp-04 0.662872 0.906376 7172207 0.5 10000 3 10 50 5 2 2
sp-05 0.728367 0.393466 7428209 0.5 10000 3 10 50 5 2 2
sp-01 0.750859 1.60642 6404209 0.5 10000 3 10 50 5 2 2
sp-02 0.850244 2.7793 6660207 0.5 10000 3 10 50 5 2 2
sp-07 0.707061 0.699369 7940209 0.5 100000 3 10 1000 5 3 2
sp-08 0.830043 0.558544 8196209 0.5 100000 3 10 1000 5 3 2
sp-06 0.720856 0.49912 7684207 0.5 100000 3 10 1000 5 3 2
sp-03 0.702438 0.0950245 6916207 0.5 100000 3 10 1000 5 3 2
sp-04 0.722122 0.0787621 7172207 0.5 100000 3 10 1000 5 3 2
sp-05 0.554671 0.0788895 7428209 0.5 100000 3 10 1000 5 3 2
sp-01 0.858218 0.0593098 6404209 0.5 100000 3 10 1000 5 3 2
sp-02 0.811567 0.832796 6660207 0.5 100000 3 10 1000 5 3 2
sp-07 0.666885 1.09498 7940209 0.65 100000 3 20 200 5 3 2
sp-08 0.821064 0.0462369 8196209 0.65 100000 3 20 200 5 3 2
sp-06 0.574061 0.802099 7684207 0.65 100000 3 20 200 5 3 2
sp-03 0.728753 0.367213 6916207 0.65 100000 3 20 200 5 3 2
sp-04 0.84228 2.1652 7172207 0.65 100000 3 20 200 5 3 2
sp-05 0.6824 0.179733 7428209 0.65 100000 3 20 200 5 3 2
sp-01 0.829643 0.153727 6404209 0.65 100000 3 20 200 5 3 2
sp-02 0.767695 1.12834 6660207 0.65 100000 3 20 200 5 3 2
sp-07 0 0 7940209 0.65 200000 3 100 100 5 2 6
sp-08 0.145189 0.00184989 8196209 0.65 200000 3 100 100 5 2 6
sp-06 0.6181 1.0483 7684207 0.65 200000 3 100 100 5 2 6
sp-03 0 0 6916207 0.65 200000 3 100 100 5 2 6
sp-04 0.0250829 0.00343935 7172207 0.65 200000 3 100 100 5 2 6
sp-05 0 0 7428209 0.65 200000 3 100 100 5 2 6
sp-01 0 0 6404209 0.65 200000 3 100 100 5 2 6
sp-02 0 0 6660207 0.65 200000 3 100 100 5 2 6
sp-07 0 0 7940209 0.5 100000 3 10 200 5 3 6
sp-08 0.1947 0.00578717 8196209 0.5 100000 3 10 200 5 3 6
sp-06 0 0 7684207 0.5 100000 3 10 200 5 3 6
sp-03 0 0 6916207 0.5 100000 3 10 200 5 3 6
sp-04 0.0830707 0.0068662 7172207 0.5 100000 3 10 200 5 3 6
sp-05 0 0 7428209 0.5 100000 3 10 200 5 3 6
sp-01 0 0 6404209 0.5 100000 3 10 200 5 3 6
sp-02 0 0 6660207 0.5 100000 3 10 200 5 3 6
sp-07 0 0 7940209 0.65 200000 3 100 500 5 2 4
sp-08 0.140309 0.00144992 8196209 0.65 200000 3 100 500 5 2 4
sp-06 0 0 7684207 0.65 200000 3 100 500 5 2 4
sp-03 0 0 6916207 0.65 200000 3 100 500 5 2 4
sp-04 0 0 7172207 0.65 200000 3 100 500 5 2 4
sp-05 0 0 7428209 0.65 200000 3 100 500 5 2 4
sp-01 0 0 6404209 0.65 200000 3 100 500 5 2 4
sp-02 0 0 6660207 0.65 200000 3 100 500 5 2 4
sp-07 0 0 7940209 0.5 200000 3 10 100 5 2 6
sp-08 0.146007 0.00584966 8196209 0.5 200000 3 10 100 5 2 6
sp-06 0 0 7684207 0.5 200000 3 10 100 5 2 6
sp-03 0 0 6916207 0.5 200000 3 10 100 5 2 6
sp-04 0.0255849 0.00739945 7172207 0.5 200000 3 10 100 5 2 6
sp-05 0 0 7428209 0.5 200000 3 10 100 5 2 6
sp-01 0 0 6404209 0.5 200000 3 10 100 5 2 6
sp-02 0 0 6660207 0.5 200000 3 10 100 5 2 6
sp-07 0.492709 0.0976181 7940209 0.5 200000 3 100 200 5 2 2
sp-08 0.757888 0.529525 8196209 0.5 200000 3 100 200 5 2 2
sp-06 0.577575 0.706296 7684207 0.5 200000 3 100 200 5 2 2
sp-03 0.451115 0.288098 6916207 0.5 200000 3 100 200 5 2 2
sp-04 0.685174 0.675018 7172207 0.5 200000 3 100 200 5 2 2
sp-05 0.701139 0.221782 7428209 0.5 200000 3 100 200 5 2 2
sp-01 0.559946 0.440763 6404209 0.5 200000 3 100 200 5 2 2
sp-02 0 0 6660207 0.5 200000 3 100 200 5 2 2
sp-07 0 0 7940209 0.65 200000 3 20 1000 5 3 6
sp-08 0.143969 0.00084995 8196209 0.65 200000 3 20 1000 5 3 6
sp-06 0 0 7684207 0.65 200000 3 20 1000 5 3 6
sp-03 0 0 6916207 0.65 200000 3 20 1000 5 3 6
sp-04 0.0250969 0.00339975 7172207 0.65 200000 3 20 1000 5 3 6
sp-05 0 0 7428209 0.65 200000 3 20 1000 5 3 6
sp-01 0 0 6404209 0.65 200000 3 20 1000 5 3 6
sp-02 0 0 6660207 0.65 200000 3 20 1000 5 3 6
sp-07 0 0 7940209 0.5 100000 3 20 500 5 2 6
sp-08 0.193992 0.000212488 8196209 0.5 100000 3 20 500 5 2 6
sp-06 0 0 7684207 0.5 100000 3 20 500 5 2 6
sp-03 0 0 6916207 0.5 100000 3 20 500 5 2 6
sp-04 0.082262 0.00113326 7172207 0.5 100000 3 20 500 5 2 6
sp-05 0 0 7428209 0.5 100000 3 20 500 5 2 6
