# Testing 1440 configurations 
# Reading [8] trace.out files from [../experiment-results/Jul-18-8/trace]
# -> Parrot_l1_sp-07.latency_trace.out
# -> Parrot_l1_sp-08.latency_trace.out
# -> Parrot_l1_sp-06.latency_trace.out
# -> Parrot_l1_sp-03.latency_trace.out
# -> Parrot_l1_sp-04.latency_trace.out
# -> Parrot_l1_sp-05.latency_trace.out
# -> Parrot_l1_sp-01.latency_trace.out
# -> Parrot_l1_sp-02.latency_trace.out
# Done loading files.
benchmark pct err len threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
sp-07 0 0 7940209 0.65 100000 3 20 1000 5 2 6
sp-08 0.192772 0.000437494 8196209 0.65 100000 3 20 1000 5 2 6
sp-06 0 0 7684207 0.65 100000 3 20 1000 5 2 6
sp-03 0 0 6916209 0.65 100000 3 20 1000 5 2 6
sp-04 0 0 7172209 0.65 100000 3 20 1000 5 2 6
sp-05 0.105005 0.00332481 7428207 0.65 100000 3 20 1000 5 2 6
sp-01 0 0 6404209 0.65 100000 3 20 1000 5 2 6
sp-02 0 0 6660209 0.65 100000 3 20 1000 5 2 6
sp-07 0 0 7940209 0.65 100000 3 10 500 5 3 6
sp-08 0.193931 0.00143748 8196209 0.65 100000 3 10 500 5 3 6
sp-06 0 0 7684207 0.65 100000 3 10 500 5 3 6
sp-03 0 0 6916209 0.65 100000 3 10 500 5 3 6
sp-04 0 0 7172209 0.65 100000 3 10 500 5 3 6
sp-05 0.107024 0.00632464 7428207 0.65 100000 3 10 500 5 3 6
sp-01 0 0 6404209 0.65 100000 3 10 500 5 3 6
sp-02 0 0 6660209 0.65 100000 3 10 500 5 3 6
sp-07 0.663233 1.03865 7940209 0.65 100000 3 10 200 5 2 2
sp-08 0.861473 1.29905 8196209 0.65 100000 3 10 200 5 2 2
sp-06 0 0 7684207 0.65 100000 3 10 200 5 2 2
sp-03 0.787947 1.62456 6916209 0.65 100000 3 10 200 5 2 2
sp-04 0.630992 0.125284 7172209 0.65 100000 3 10 200 5 2 2
sp-05 0.637355 0.566728 7428207 0.65 100000 3 10 200 5 2 2
sp-01 0.777959 0.294433 6404209 0.65 100000 3 10 200 5 2 2
sp-02 0.765623 1.38164 6660209 0.65 100000 3 10 200 5 2 2
sp-07 0.513111 0.139092 7940209 0.5 100000 3 10 1000 5 3 2
sp-08 0.871282 0.186347 8196209 0.5 100000 3 10 1000 5 3 2
sp-06 0.699904 0.471913 7684207 0.5 100000 3 10 1000 5 3 2
sp-03 0.618288 0.280707 6916209 0.5 100000 3 10 1000 5 3 2
sp-04 0.758652 0.6617 7172209 0.5 100000 3 10 1000 5 3 2
sp-05 0.783797 0.215801 7428207 0.5 100000 3 10 1000 5 3 2
sp-01 0.873833 0.0972528 6404209 0.5 100000 3 10 1000 5 3 2
sp-02 0.828083 0.635051 6660209 0.5 100000 3 10 1000 5 3 2
sp-07 0 0 7940209 0.5 100000 3 20 500 5 2 4
sp-08 0.191369 0.00143748 8196209 0.5 100000 3 20 500 5 2 4
sp-06 0 0 7684207 0.5 100000 3 20 500 5 2 4
sp-03 0 0 6916209 0.5 100000 3 20 500 5 2 4
sp-04 0 0 7172209 0.5 100000 3 20 500 5 2 4
sp-05 0.106351 0.00432475 7428207 0.5 100000 3 20 500 5 2 4
sp-01 0 0 6404209 0.5 100000 3 20 500 5 2 4
sp-02 0 0 6660209 0.5 100000 3 20 500 5 2 4
sp-07 0.573941 0.553218 7940209 0.65 100000 3 20 200 5 3 2
sp-08 0.838242 0.936426 8196209 0.65 100000 3 20 200 5 3 2
sp-06 0.585774 0.553283 7684207 0.65 100000 3 20 200 5 3 2
sp-03 0.604263 0.302098 6916209 0.65 100000 3 20 200 5 3 2
sp-04 0.757732 1.74427 7172209 0.65 100000 3 20 200 5 3 2
sp-05 0.870898 2.61896 7428207 0.65 100000 3 20 200 5 3 2
sp-01 0.846788 1.59567 6404209 0.65 100000 3 20 200 5 3 2
sp-02 0.740609 0.115088 6660209 0.65 100000 3 20 200 5 3 2
sp-07 0 0 7940209 0.5 10000 3 10 50 5 2 2
sp-08 0.850187 0.991835 8196209 0.5 10000 3 10 50 5 2 2
sp-06 0.791872 7.79203 7684207 0.5 10000 3 10 50 5 2 2
sp-03 0.715444 1.42761 6916209 0.5 10000 3 10 50 5 2 2
sp-04 0.677666 1.79851 7172209 0.5 10000 3 10 50 5 2 2
sp-05 0.884104 0.105649 7428207 0.5 10000 3 10 50 5 2 2
sp-01 0.754248 1.81877 6404209 0.5 10000 3 10 50 5 2 2
sp-02 0.548909 1.14052 6660209 0.5 10000 3 10 50 5 2 2
sp-07 0 0 7940209 0.5 100000 3 10 200 5 3 4
sp-08 0.180059 0.00143748 8196209 0.5 100000 3 10 200 5 3 4
sp-06 0.57034 0.742127 7684207 0.5 100000 3 10 200 5 3 4
sp-03 0 0 6916209 0.5 100000 3 10 200 5 3 4
sp-04 0 0 7172209 0.5 100000 3 10 200 5 3 4
sp-05 0.107428 0.00432475 7428207 0.5 100000 3 10 200 5 3 4
sp-01 0 0 6404209 0.5 100000 3 10 200 5 3 4
sp-02 0 0 6660209 0.5 100000 3 10 200 5 3 4
sp-07 0 0 7940209 0.5 200000 3 50 100 5 2 2
sp-08 0.606208 0.585251 8196209 0.5 200000 3 50 100 5 2 2
sp-06 0.479712 1.03971 7684207 0.5 200000 3 50 100 5 2 2
sp-03 0 0 6916209 0.5 200000 3 50 100 5 2 2
sp-04 0 0 7172209 0.5 200000 3 50 100 5 2 2
sp-05 0.0517891 0.0054497 7428207 0.5 200000 3 50 100 5 2 2
sp-01 0 0 6404209 0.5 200000 3 50 100 5 2 2
sp-02 0.521261 0.944532 6660209 0.5 200000 3 50 100 5 2 2
sp-07 0.676205 0.313799 7940209 0.65 100000 3 20 1000 5 3 2
sp-08 0.825163 0.282669 8196209 0.65 100000 3 20 1000 5 3 2
sp-06 0.69574 0.140108 7684207 0.65 100000 3 20 1000 5 3 2
sp-03 0.799312 0.406429 6916209 0.65 100000 3 20 1000 5 3 2
sp-04 0.785143 0.593627 7172209 0.65 100000 3 20 1000 5 3 2
sp-05 0.821626 0.19518 7428207 0.65 100000 3 20 1000 5 3 2
sp-01 0.653197 0.381978 6404209 0.65 100000 3 20 1000 5 3 2
