# Testing 1440 configurations 
# Reading [8] trace.out files from [../experiment-results/Jul-18-7/trace]
# -> Parrot_l1_sp-07.latency_trace.out
# -> Parrot_l1_sp-08.latency_trace.out
# -> Parrot_l1_sp-06.latency_trace.out
# -> Parrot_l1_sp-03.latency_trace.out
# -> Parrot_l1_sp-04.latency_trace.out
# -> Parrot_l1_sp-05.latency_trace.out
# -> Parrot_l1_sp-01.latency_trace.out
# -> Parrot_l1_sp-02.latency_trace.out
# Done loading files.
benchmark pct err len threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
sp-07 0 0 7940207 0.65 100000 3 20 1000 5 2 6
sp-08 0 0 8196209 0.65 100000 3 20 1000 5 2 6
sp-06 0 0 7684209 0.65 100000 3 20 1000 5 2 6
sp-03 0 0 6916207 0.65 100000 3 20 1000 5 2 6
sp-04 0 0 7172207 0.65 100000 3 20 1000 5 2 6
sp-05 0 0 7428207 0.65 100000 3 20 1000 5 2 6
sp-01 0 0 6404209 0.65 100000 3 20 1000 5 2 6
sp-02 0 0 6660207 0.65 100000 3 20 1000 5 2 6
sp-07 0 0 7940207 0.5 100000 3 20 500 5 2 4
sp-08 0 0 8196209 0.5 100000 3 20 500 5 2 4
sp-06 0 0 7684209 0.5 100000 3 20 500 5 2 4
sp-03 0 0 6916207 0.5 100000 3 20 500 5 2 4
sp-04 0 0 7172207 0.5 100000 3 20 500 5 2 4
sp-05 0 0 7428207 0.5 100000 3 20 500 5 2 4
sp-01 0 0 6404209 0.5 100000 3 20 500 5 2 4
sp-02 0 0 6660207 0.5 100000 3 20 500 5 2 4
sp-07 0.668623 0.934766 7940207 0.65 100000 3 20 200 5 3 2
sp-08 0.606208 0.944303 8196209 0.65 100000 3 20 200 5 3 2
sp-06 0.678145 1.10648 7684209 0.65 100000 3 20 200 5 3 2
sp-03 0.639109 1.09 6916207 0.65 100000 3 20 200 5 3 2
sp-04 0.772148 0.977615 7172207 0.65 100000 3 20 200 5 3 2
sp-05 0.608896 0.865289 7428207 0.65 100000 3 20 200 5 3 2
sp-01 0.805253 1.27343 6404209 0.65 100000 3 20 200 5 3 2
sp-02 0.840666 3.24077 6660207 0.65 100000 3 20 200 5 3 2
sp-07 0.575805 0.678183 7940207 0.65 100000 3 10 200 5 2 2
sp-08 0.49523 0.614262 8196209 0.65 100000 3 10 200 5 2 2
sp-06 0.604175 0.0150215 7684209 0.65 100000 3 10 200 5 2 2
sp-03 0.445997 0.909647 6916207 0.65 100000 3 10 200 5 2 2
sp-04 0.664957 0.903803 7172207 0.65 100000 3 10 200 5 2 2
sp-05 0.657172 0.887435 7428207 0.65 100000 3 10 200 5 2 2
sp-01 0 0 6404209 0.65 100000 3 10 200 5 2 2
sp-02 0.511126 0.0767989 6660207 0.65 100000 3 10 200 5 2 2
sp-07 0.662099 0.024111 7940207 0.5 100000 3 10 1000 5 3 2
sp-08 0.639955 0.0867458 8196209 0.5 100000 3 10 1000 5 3 2
sp-06 0.692747 0.286673 7684209 0.5 100000 3 10 1000 5 3 2
sp-03 0.731356 0.501267 6916207 0.5 100000 3 10 1000 5 3 2
sp-04 0.727978 0.744449 7172207 0.5 100000 3 10 1000 5 3 2
sp-05 0.591692 0.168492 7428207 0.5 100000 3 10 1000 5 3 2
sp-01 0.787952 0.506775 6404209 0.5 100000 3 10 1000 5 3 2
sp-02 0.80391 0.0693361 6660207 0.5 100000 3 10 1000 5 3 2
sp-07 0 0 7940207 0.5 10000 3 10 50 5 2 2
sp-08 0.741856 7.73422 8196209 0.5 10000 3 10 50 5 2 2
sp-06 0.701485 0.0590335 7684209 0.5 10000 3 10 50 5 2 2
sp-03 0.552479 1.5833 6916207 0.5 10000 3 10 50 5 2 2
sp-04 0 0 7172207 0.5 10000 3 10 50 5 2 2
sp-05 0.667901 1.6123 7428207 0.5 10000 3 10 50 5 2 2
sp-01 0.750812 1.83931 6404209 0.5 10000 3 10 50 5 2 2
sp-02 0.645911 0.035436 6660207 0.5 10000 3 10 50 5 2 2
sp-07 0 0 7940207 0.65 100000 3 10 500 5 3 6
sp-08 0 0 8196209 0.65 100000 3 10 500 5 3 6
sp-06 0 0 7684209 0.65 100000 3 10 500 5 3 6
sp-03 0 0 6916207 0.65 100000 3 10 500 5 3 6
sp-04 0 0 7172207 0.65 100000 3 10 500 5 3 6
sp-05 0 0 7428207 0.65 100000 3 10 500 5 3 6
sp-01 0 0 6404209 0.65 100000 3 10 500 5 3 6
sp-02 0 0 6660207 0.65 100000 3 10 500 5 3 6
sp-07 0 0 7940207 0.5 100000 3 10 200 5 3 4
sp-08 0 0 8196209 0.5 100000 3 10 200 5 3 4
sp-06 0 0 7684209 0.5 100000 3 10 200 5 3 4
sp-03 0 0 6916207 0.5 100000 3 10 200 5 3 4
sp-04 0 0 7172207 0.5 100000 3 10 200 5 3 4
sp-05 0 0 7428207 0.5 100000 3 10 200 5 3 4
sp-01 0 0 6404209 0.5 100000 3 10 200 5 3 4
sp-02 0 0 6660207 0.5 100000 3 10 200 5 3 4
sp-07 0.420469 0.195384 7940207 0.5 200000 3 75 100 5 3 2
sp-08 0.484201 0.763957 8196209 0.5 200000 3 75 100 5 3 2
sp-06 0.504686 0.926802 7684209 0.5 200000 3 75 100 5 3 2
sp-03 0.728319 1.79438 6916207 0.5 200000 3 75 100 5 3 2
sp-04 0.606105 1.11575 7172207 0.5 200000 3 75 100 5 3 2
sp-05 0.670472 1.6669 7428207 0.5 200000 3 75 100 5 3 2
sp-01 0.554496 1.04459 6404209 0.5 200000 3 75 100 5 3 2
sp-02 0.526651 0.846407 6660207 0.5 200000 3 75 100 5 3 2
sp-07 0 0 7940207 0.5 200000 3 10 100 5 2 6
sp-08 0 0 8196209 0.5 200000 3 10 100 5 2 6
sp-06 0 0 7684209 0.5 200000 3 10 100 5 2 6
sp-03 0 0 6916207 0.5 200000 3 10 100 5 2 6
sp-04 0 0 7172207 0.5 200000 3 10 100 5 2 6
sp-05 0 0 7428207 0.5 200000 3 10 100 5 2 6
sp-01 0 0 6404209 0.5 200000 3 10 100 5 2 6
sp-02 0 0 6660207 0.5 200000 3 10 100 5 2 6
sp-07 0 0 7940207 0.5 200000 3 25 200 5 2 6
sp-08 0 0 8196209 0.5 200000 3 25 200 5 2 6
sp-06 0 0 7684209 0.5 200000 3 25 200 5 2 6
sp-03 0 0 6916207 0.5 200000 3 25 200 5 2 6
sp-04 0 0 7172207 0.5 200000 3 25 200 5 2 6
sp-05 0 0 7428207 0.5 200000 3 25 200 5 2 6
sp-01 0 0 6404209 0.5 200000 3 25 200 5 2 6
sp-02 0 0 6660207 0.5 200000 3 25 200 5 2 6
sp-07 0 0 7940207 0.65 200000 3 75 50 5 3 6
sp-08 0 0 8196209 0.65 200000 3 75 50 5 3 6
sp-06 0 0 7684209 0.65 200000 3 75 50 5 3 6
sp-03 0 0 6916207 0.65 200000 3 75 50 5 3 6
sp-04 0 0 7172207 0.65 200000 3 75 50 5 3 6
sp-05 0 0 7428207 0.65 200000 3 75 50 5 3 6
sp-01 0 0 6404209 0.65 200000 3 75 50 5 3 6
sp-02 0 0 6660207 0.65 200000 3 75 50 5 3 6
sp-07 0.594469 0.0165917 7940207 0.65 200000 3 25 500 5 3 2
sp-08 0.623911 0.365467 8196209 0.65 200000 3 25 500 5 3 2
sp-06 0.661449 0.910182 7684209 0.65 200000 3 25 500 5 3 2
sp-03 0.644603 0.748934 6916207 0.65 200000 3 25 500 5 3 2
sp-04 0.690402 0.776399 7172207 0.65 200000 3 25 500 5 3 2
sp-05 0.696697 0.938046 7428207 0.65 200000 3 25 500 5 3 2
sp-01 0.652885 0.287797 6404209 0.65 200000 3 25 500 5 3 2
sp-02 0.785968 0.14296 6660207 0.65 200000 3 25 500 5 3 2
sp-07 0 0 7940207 0.65 200000 3 50 50 5 2 6
sp-08 0 0 8196209 0.65 200000 3 50 50 5 2 6
sp-06 0 0 7684209 0.65 200000 3 50 50 5 2 6
sp-03 0 0 6916207 0.65 200000 3 50 50 5 2 6
sp-04 0 0 7172207 0.65 200000 3 50 50 5 2 6
sp-05 0 0 7428207 0.65 200000 3 50 50 5 2 6
sp-01 0 0 6404209 0.65 200000 3 50 50 5 2 6
sp-02 0 0 6660207 0.65 200000 3 50 50 5 2 6
sp-07 0 0 7940207 0.65 200000 3 25 100 5 3 4
sp-08 0 0 8196209 0.65 200000 3 25 100 5 3 4
sp-06 0 0 7684209 0.65 200000 3 25 100 5 3 4
sp-03 0 0 6916207 0.65 200000 3 25 100 5 3 4
