# Testing 1440 configurations 
# Reading [8] trace.out files from [../experiment-results/Jul-17-19/trace]
# -> Parrot_l1_sp-07.latency_trace.out
# -> Parrot_l1_sp-08.latency_trace.out
# -> Parrot_l1_sp-06.latency_trace.out
# -> Parrot_l1_sp-03.latency_trace.out
# -> Parrot_l1_sp-04.latency_trace.out
# -> Parrot_l1_sp-05.latency_trace.out
# -> Parrot_l1_sp-01.latency_trace.out
# -> Parrot_l1_sp-02.latency_trace.out
# Done loading files.
benchmark pct err len threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
sp-07 0.52218 0.109028 3972207 0.65 200000 3 25 500 5 3 2
sp-08 0.0457294 0.00389979 4100209 0.65 200000 3 25 500 5 3 2
sp-06 0.580538 0.195458 3844209 0.65 200000 3 25 500 5 3 2
sp-03 0.533554 0.77991 3460207 0.65 200000 3 25 500 5 3 2
sp-04 0.591021 1.25401 3588207 0.65 200000 3 25 500 5 3 2
sp-05 0.424413 0.951762 3716209 0.65 200000 3 25 500 5 3 2
sp-01 0 0 3204209 0.65 200000 3 25 500 5 3 2
sp-02 0.567854 0.970641 3332209 0.65 200000 3 25 500 5 3 2
sp-07 0 0 3972207 0.65 200000 3 75 50 5 3 6
sp-08 0.0440831 0.000436685 4100209 0.65 200000 3 75 50 5 3 6
sp-06 0 0 3844209 0.65 200000 3 75 50 5 3 6
sp-03 0 0 3460207 0.65 200000 3 75 50 5 3 6
sp-04 0 0 3588207 0.65 200000 3 75 50 5 3 6
sp-05 0 0 3716209 0.65 200000 3 75 50 5 3 6
sp-01 0 0 3204209 0.65 200000 3 75 50 5 3 6
sp-02 0 0 3332209 0.65 200000 3 75 50 5 3 6
sp-07 0 0 3972207 0.65 200000 3 10 50 5 3 4
sp-08 0.042071 0.0054997 4100209 0.65 200000 3 10 50 5 3 4
sp-06 0 0 3844209 0.65 200000 3 10 50 5 3 4
sp-03 0 0 3460207 0.65 200000 3 10 50 5 3 4
sp-04 0 0 3588207 0.65 200000 3 10 50 5 3 4
sp-05 0 0 3716209 0.65 200000 3 10 50 5 3 4
sp-01 0 0 3204209 0.65 200000 3 10 50 5 3 4
sp-02 0.631626 8.19954 3332209 0.65 200000 3 10 50 5 3 4
sp-07 0 0 3972207 0.65 200000 3 20 100 5 2 4
sp-08 0.0448514 0.0054997 4100209 0.65 200000 3 20 100 5 2 4
sp-06 0 0 3844209 0.65 200000 3 20 100 5 2 4
sp-03 0 0 3460207 0.65 200000 3 20 100 5 2 4
sp-04 0 0 3588207 0.65 200000 3 20 100 5 2 4
sp-05 0 0 3716209 0.65 200000 3 20 100 5 2 4
sp-01 0 0 3204209 0.65 200000 3 20 100 5 2 4
sp-02 0 0 3332209 0.65 200000 3 20 100 5 2 4
